onset	duration	participant	experiment_name	block_order	video_list	trial_type	prop_correct
0.0	26	SAXE_NES2_s003	DOTSloc_Exp2	2	2	rest	0.625
26.014	26	SAXE_NES2_s003	DOTSloc_Exp2	2	2	physics	0.625
52.044	26	SAXE_NES2_s003	DOTSloc_Exp2	2	2	social	0.625
78.07499999999999	26	SAXE_NES2_s003	DOTSloc_Exp2	2	2	physics	0.625
104.101	26	SAXE_NES2_s003	DOTSloc_Exp2	2	2	physics	0.625
130.132	26	SAXE_NES2_s003	DOTSloc_Exp2	2	2	social	0.625
156.161	26	SAXE_NES2_s003	DOTSloc_Exp2	2	2	social	0.625
182.185	26	SAXE_NES2_s003	DOTSloc_Exp2	2	2	physics	0.625
208.211	26	SAXE_NES2_s003	DOTSloc_Exp2	2	2	social	0.625
234.236	26	SAXE_NES2_s003	DOTSloc_Exp2	2	2	rest	0.625
260.247	26	SAXE_NES2_s003	DOTSloc_Exp2	2	2	social	0.625
286.273	26	SAXE_NES2_s003	DOTSloc_Exp2	2	2	physics	0.625
312.29600000000005	26	SAXE_NES2_s003	DOTSloc_Exp2	2	2	social	0.625
338.327	26	SAXE_NES2_s003	DOTSloc_Exp2	2	2	social	0.625
364.353	26	SAXE_NES2_s003	DOTSloc_Exp2	2	2	physics	0.625
390.384	26	SAXE_NES2_s003	DOTSloc_Exp2	2	2	physics	0.625
416.413	26	SAXE_NES2_s003	DOTSloc_Exp2	2	2	social	0.625
442.437	26	SAXE_NES2_s003	DOTSloc_Exp2	2	2	physics	0.625
468.46	26	SAXE_NES2_s003	DOTSloc_Exp2	2	2	rest	0.625
