onset	duration	participant	experiment_name	block_order	video_list	trial_type	prop_correct
0.0	26	SAXE_NES2_s011	DOTSloc_Exp2	2	2	rest	0.3125
26.015000000000008	26	SAXE_NES2_s011	DOTSloc_Exp2	2	2	physics	0.3125
52.04500000000001	26	SAXE_NES2_s011	DOTSloc_Exp2	2	2	social	0.3125
78.066	26	SAXE_NES2_s011	DOTSloc_Exp2	2	2	physics	0.3125
104.089	26	SAXE_NES2_s011	DOTSloc_Exp2	2	2	physics	0.3125
130.116	26	SAXE_NES2_s011	DOTSloc_Exp2	2	2	social	0.3125
156.14	26	SAXE_NES2_s011	DOTSloc_Exp2	2	2	social	0.3125
182.171	26	SAXE_NES2_s011	DOTSloc_Exp2	2	2	physics	0.3125
208.201	26	SAXE_NES2_s011	DOTSloc_Exp2	2	2	social	0.3125
234.223	26	SAXE_NES2_s011	DOTSloc_Exp2	2	2	rest	0.3125
260.233	26	SAXE_NES2_s011	DOTSloc_Exp2	2	2	social	0.3125
286.255	26	SAXE_NES2_s011	DOTSloc_Exp2	2	2	physics	0.3125
312.279	26	SAXE_NES2_s011	DOTSloc_Exp2	2	2	social	0.3125
338.30100000000004	26	SAXE_NES2_s011	DOTSloc_Exp2	2	2	social	0.3125
364.326	26	SAXE_NES2_s011	DOTSloc_Exp2	2	2	physics	0.3125
390.3490000000001	26	SAXE_NES2_s011	DOTSloc_Exp2	2	2	physics	0.3125
416.378	26	SAXE_NES2_s011	DOTSloc_Exp2	2	2	social	0.3125
442.406	26	SAXE_NES2_s011	DOTSloc_Exp2	2	2	physics	0.3125
468.432	26	SAXE_NES2_s011	DOTSloc_Exp2	2	2	rest	0.3125
