onset	duration	participant	experiment_name	block_order	video_list	trial_type	prop_correct
0.0	26	SAXE_NES2_s018b	DOTSloc_Exp2	2	1	rest	0.875
26.016	26	SAXE_NES2_s018b	DOTSloc_Exp2	2	1	physics	0.875
52.058	26	SAXE_NES2_s018b	DOTSloc_Exp2	2	1	social	0.875
78.095	26	SAXE_NES2_s018b	DOTSloc_Exp2	2	1	physics	0.875
104.135	26	SAXE_NES2_s018b	DOTSloc_Exp2	2	1	physics	0.875
130.183	26	SAXE_NES2_s018b	DOTSloc_Exp2	2	1	social	0.875
156.227	26	SAXE_NES2_s018b	DOTSloc_Exp2	2	1	social	0.875
182.251	26	SAXE_NES2_s018b	DOTSloc_Exp2	2	1	physics	0.875
208.282	26	SAXE_NES2_s018b	DOTSloc_Exp2	2	1	social	0.875
234.31	26	SAXE_NES2_s018b	DOTSloc_Exp2	2	1	rest	0.875
260.327	26	SAXE_NES2_s018b	DOTSloc_Exp2	2	1	social	0.875
286.374	26	SAXE_NES2_s018b	DOTSloc_Exp2	2	1	physics	0.875
312.423	26	SAXE_NES2_s018b	DOTSloc_Exp2	2	1	social	0.875
338.458	26	SAXE_NES2_s018b	DOTSloc_Exp2	2	1	social	0.875
364.488	26	SAXE_NES2_s018b	DOTSloc_Exp2	2	1	physics	0.875
390.525	26	SAXE_NES2_s018b	DOTSloc_Exp2	2	1	physics	0.875
416.574	26	SAXE_NES2_s018b	DOTSloc_Exp2	2	1	social	0.875
442.622	26	SAXE_NES2_s018b	DOTSloc_Exp2	2	1	physics	0.875
468.665	26	SAXE_NES2_s018b	DOTSloc_Exp2	2	1	rest	0.875
