onset	duration	trial_type	response_time	experimentName	correct	stim_path
0.0	3.0	fixation	n/a	VOESocPhys	1.0	n/a
15.515	5.0	fixation	n/a	VOESocPhys	1.0	n/a
33.031	5.0	fixation	n/a	VOESocPhys	1.0	n/a
50.551	7.0	fixation	n/a	VOESocPhys	1.0	n/a
70.06200000000001	5.0	fixation	0.72	VOESocPhys	1.0	n/a
87.58000000000001	5.0	fixation	0.7190000000000001	VOESocPhys	1.0	n/a
105.088	5.0	fixation	n/a	VOESocPhys	1.0	n/a
122.598	3.0	fixation	0.6709999999999999	VOESocPhys	1.0	n/a
138.109	3.0	fixation	0.7070000000000001	VOESocPhys	1.0	n/a
153.625	3.0	fixation	0.504	VOESocPhys	1.0	n/a
169.14100000000005	3.0	fixation	n/a	VOESocPhys	1.0	n/a
184.655	7.0	fixation	0.491	VOESocPhys	1.0	n/a
204.172	5.0	fixation	0.628	VOESocPhys	1.0	n/a
221.68400000000003	3.0	fixation	0.498	VOESocPhys	1.0	n/a
237.204	7.0	fixation	0.518	VOESocPhys	1.0	n/a
256.724	3.0	fixation	0.39	VOESocPhys	1.0	n/a
272.238	5.0	fixation	0.474	VOESocPhys	1.0	n/a
289.747	5.0	fixation	0.5760000000000001	VOESocPhys	1.0	n/a
307.256	7.0	fixation	n/a	VOESocPhys	1.0	n/a
326.766	3.0	fixation	n/a	VOESocPhys	1.0	n/a
342.271	3.0	fixation	n/a	VOESocPhys	1.0	n/a
357.786	3.0	fixation	0.637	VOESocPhys	1.0	n/a
373.298	7.0	fixation	0.47	VOESocPhys	1.0	n/a
392.814	3.0	fixation	n/a	VOESocPhys	1.0	n/a
3.0069999999999983	12.25	physics_support_fam_1	n/a	VOESocPhys	n/a	stimuli/VOE/physics/support_exp1/fam.mp4
20.52	12.25	physics_support_unexp_1	n/a	VOESocPhys	n/a	stimuli/VOE/physics/support_exp1/unexp.mp4
38.036	12.25	physics_support_exp_1	n/a	VOESocPhys	n/a	stimuli/VOE/physics/support_exp1/exp.mp4
57.553	12.25	psychology_efficiency_fam_1	n/a	VOESocPhys	n/a	stimuli/VOE/psychology/efficiency_exp1/fam_flip.mp4
75.06800000000001	12.25	psychology_efficiency_exp_1	n/a	VOESocPhys	n/a	stimuli/VOE/psychology/efficiency_exp1/exp_flip.mp4
92.582	12.25	psychology_efficiency_unexp_1	n/a	VOESocPhys	n/a	stimuli/VOE/psychology/efficiency_exp1/unexp_flip.mp4
110.091	12.25	physics_solidity_fam_1	n/a	VOESocPhys	n/a	stimuli/VOE/physics/solidity_exp1/fam_flip.mp4
125.6	12.25	physics_solidity_exp_1	n/a	VOESocPhys	n/a	stimuli/VOE/physics/solidity_exp1/exp_flip.mp4
141.112	12.25	physics_solidity_unexp_1	n/a	VOESocPhys	n/a	stimuli/VOE/physics/solidity_exp1/unexp_flip.mp4
156.63	12.25	psychology_goals_fam_1	n/a	VOESocPhys	n/a	stimuli/VOE/psychology/goal_exp1/fam.mp4
172.145	12.25	psychology_goals_unexp_1	n/a	VOESocPhys	n/a	stimuli/VOE/psychology/goal_exp1/unexp.mp4
191.66	12.25	psychology_goals_exp_1	n/a	VOESocPhys	n/a	stimuli/VOE/psychology/goal_exp1/exp.mp4
209.174	12.25	physics_solidity_fam_2	n/a	VOESocPhys	n/a	stimuli/VOE/physics/solidity_exp1/fam_flip.mp4
224.689	12.25	physics_solidity_unexp_2	n/a	VOESocPhys	n/a	stimuli/VOE/physics/solidity_exp1/unexp_flip.mp4
244.20900000000003	12.25	physics_solidity_exp_2	n/a	VOESocPhys	n/a	stimuli/VOE/physics/solidity_exp1/exp_flip.mp4
259.72700000000003	12.25	physics_support_fam_2	n/a	VOESocPhys	n/a	stimuli/VOE/physics/support_exp1/fam_flip.mp4
277.23999999999995	12.25	physics_support_unexp_2	n/a	VOESocPhys	n/a	stimuli/VOE/physics/support_exp1/unexp_flip.mp4
294.749	12.25	physics_support_exp_2	n/a	VOESocPhys	n/a	stimuli/VOE/physics/support_exp1/exp_flip.mp4
314.258	12.25	psychology_goals_fam_2	n/a	VOESocPhys	n/a	stimuli/VOE/psychology/goal_exp1/fam.mp4
329.76800000000003	12.25	psychology_goals_exp_2	n/a	VOESocPhys	n/a	stimuli/VOE/psychology/goal_exp1/exp.mp4
345.2759999999999	12.25	psychology_goals_unexp_2	n/a	VOESocPhys	n/a	stimuli/VOE/psychology/goal_exp1/unexp.mp4
360.787	12.25	psychology_efficiency_fam_2	n/a	VOESocPhys	n/a	stimuli/VOE/psychology/efficiency_exp1/fam.mp4
380.30300000000005	12.25	psychology_efficiency_exp_2	n/a	VOESocPhys	n/a	stimuli/VOE/psychology/efficiency_exp1/exp.mp4
395.82	12.25	psychology_efficiency_unexp_2	n/a	VOESocPhys	n/a	stimuli/VOE/psychology/efficiency_exp1/unexp.mp4
