task	description	conds	weights
VOE	physics_permanence_cube_fam-gt-fixation	physics_permanence_cube_fam fixation	1 -1
VOE	physics_permanence_cube_exp-gt-fixation	physics_permanence_cube_exp fixation	1 -1
VOE	check-gt-fixation	check fixation	1 -1
VOE	psychology_goal_trial-9_fam-gt-fixation	psychology_goal_trial-9_fam fixation	1 -1
VOE	psychology_goal_trial-9_unexp-gt-fixation	psychology_goal_trial-9_unexp fixation	1 -1
VOE	psychology_efficiency_trial-2-barrier_fam-gt-fixation	psychology_efficiency_trial-2-barrier_fam fixation	1 -1
VOE	psychology_efficiency_trial-2-barrier_unexp-gt-fixation	psychology_efficiency_trial-2-barrier_unexp fixation	1 -1
VOE	psychology_goal_goal-exp1_fam-gt-fixation	psychology_goal_goal-exp1_fam fixation	1 -1
VOE	psychology_goal_goal-exp1_unexp-gt-fixation	psychology_goal_goal-exp1_unexp fixation	1 -1
VOE	physics_solidity_cube_fam-gt-fixation	physics_solidity_cube_fam fixation	1 -1
VOE	physics_solidity_cube_unexp-gt-fixation	physics_solidity_cube_unexp fixation	1 -1
VOE	physics_permanence_cone_fam-gt-fixation	physics_permanence_cone_fam fixation	1 -1
VOE	physics_permanence_cone_unexp-gt-fixation	physics_permanence_cone_unexp fixation	1 -1
VOE	physics_permanence_toy_fam-gt-fixation	physics_permanence_toy_fam fixation	1 -1
VOE	physics_permanence_toy_unexp-gt-fixation	physics_permanence_toy_unexp fixation	1 -1
VOE	psychology_efficiency_trial-14-pit_fam-gt-fixation	psychology_efficiency_trial-14-pit_fam fixation	1 -1
VOE	psychology_efficiency_trial-14-pit_unexp-gt-fixation	psychology_efficiency_trial-14-pit_unexp fixation	1 -1
VOE	psychology_efficiency_efficiency-exp1_fam-gt-fixation	psychology_efficiency_efficiency-exp1_fam fixation	1 -1
VOE	psychology_efficiency_efficiency-exp1_unexp-gt-fixation	psychology_efficiency_efficiency-exp1_unexp fixation	1 -1
VOE	both_agent-solidity_trial-19_fam-gt-fixation	both_agent-solidity_trial-19_fam fixation	1 -1
VOE	both_agent-solidity_trial-19_unexp-gt-fixation	both_agent-solidity_trial-19_unexp fixation	1 -1
VOE	psychology_goal_trial-16-pedestal_fam-gt-fixation	psychology_goal_trial-16-pedestal_fam fixation	1 -1
VOE	psychology_goal_trial-16-pedestal_exp-gt-fixation	psychology_goal_trial-16-pedestal_exp fixation	1 -1
VOE	both_infer-constraint_trial-34-around_fam-gt-fixation	both_infer-constraint_trial-34-around_fam fixation	1 -1
VOE	both_infer-constraint_trial-34-around_exp-gt-fixation	both_infer-constraint_trial-34-around_exp fixation	1 -1
VOE	physics_solidity_solidity-exp1_fam-gt-fixation	physics_solidity_solidity-exp1_fam fixation	1 -1
VOE	physics_solidity_solidity-exp1_unexp-gt-fixation	physics_solidity_solidity-exp1_unexp fixation	1 -1
VOE	both_infer-constraint_trial-5-over_fam-gt-fixation	both_infer-constraint_trial-5-over_fam fixation	1 -1
VOE	both_infer-constraint_trial-5-over_unexp-gt-fixation	both_infer-constraint_trial-5-over_unexp fixation	1 -1
VOE	physics_solidity_chair_fam-gt-fixation	physics_solidity_chair_fam fixation	1 -1
VOE	physics_solidity_chair_unexp-gt-fixation	physics_solidity_chair_unexp fixation	1 -1
VOE	both_agent-solidity_trial-11_fam-gt-fixation	both_agent-solidity_trial-11_fam fixation	1 -1
VOE	both_agent-solidity_trial-11_unexp-gt-fixation	both_agent-solidity_trial-11_unexp fixation	1 -1
