onset	duration	participant	experiment_name	block_order	video_list	trial_type	prop_correct
0.0	26	SAXE_NES2_s028	DOTSloc_Exp2	2	1	rest	0.75
26.012	26	SAXE_NES2_s028	DOTSloc_Exp2	2	1	physics	0.75
52.059	26	SAXE_NES2_s028	DOTSloc_Exp2	2	1	social	0.75
78.09400000000001	26	SAXE_NES2_s028	DOTSloc_Exp2	2	1	physics	0.75
104.133	26	SAXE_NES2_s028	DOTSloc_Exp2	2	1	physics	0.75
130.18	26	SAXE_NES2_s028	DOTSloc_Exp2	2	1	social	0.75
156.22	26	SAXE_NES2_s028	DOTSloc_Exp2	2	1	social	0.75
182.268	26	SAXE_NES2_s028	DOTSloc_Exp2	2	1	physics	0.75
208.312	26	SAXE_NES2_s028	DOTSloc_Exp2	2	1	social	0.75
234.346	26	SAXE_NES2_s028	DOTSloc_Exp2	2	1	rest	0.75
260.363	26	SAXE_NES2_s028	DOTSloc_Exp2	2	1	social	0.75
286.406	26	SAXE_NES2_s028	DOTSloc_Exp2	2	1	physics	0.75
312.45	26	SAXE_NES2_s028	DOTSloc_Exp2	2	1	social	0.75
338.496	26	SAXE_NES2_s028	DOTSloc_Exp2	2	1	social	0.75
364.545	26	SAXE_NES2_s028	DOTSloc_Exp2	2	1	physics	0.75
390.585	26	SAXE_NES2_s028	DOTSloc_Exp2	2	1	physics	0.75
416.624	26	SAXE_NES2_s028	DOTSloc_Exp2	2	1	social	0.75
442.672	26	SAXE_NES2_s028	DOTSloc_Exp2	2	1	physics	0.75
468.715	26	SAXE_NES2_s028	DOTSloc_Exp2	2	1	rest	0.75
