onset	duration	trial_type	response_time	experimentName	correct	stim_path
0.0	7.0	fixation	n/a	VOESocPhys	1.0	n/a
19.515	5.0	fixation	n/a	VOESocPhys	1.0	n/a
37.035	5.0	fixation	1.037	VOESocPhys	1.0	n/a
54.551	5.0	fixation	n/a	VOESocPhys	1.0	n/a
72.058	7.0	fixation	n/a	VOESocPhys	1.0	n/a
91.57	3.0	fixation	n/a	VOESocPhys	1.0	n/a
107.086	5.0	fixation	n/a	VOESocPhys	1.0	n/a
124.603	5.0	fixation	n/a	VOESocPhys	1.0	n/a
142.115	7.0	fixation	0.767	VOESocPhys	1.0	n/a
161.628	3.0	fixation	n/a	VOESocPhys	1.0	n/a
177.137	5.0	fixation	n/a	VOESocPhys	1.0	n/a
194.647	5.0	fixation	n/a	VOESocPhys	1.0	n/a
212.162	7.0	fixation	n/a	VOESocPhys	1.0	n/a
231.68	7.0	fixation	0.8029999999999999	VOESocPhys	1.0	n/a
251.194	7.0	fixation	n/a	VOESocPhys	1.0	n/a
270.704	3.0	fixation	0.816	VOESocPhys	1.0	n/a
286.219	3.0	fixation	n/a	VOESocPhys	1.0	n/a
301.726	5.0	fixation	n/a	VOESocPhys	1.0	n/a
319.23	7.0	fixation	n/a	VOESocPhys	1.0	n/a
338.74300000000005	5.0	fixation	n/a	VOESocPhys	1.0	n/a
356.25699999999995	3.0	fixation	0.95	VOESocPhys	1.0	n/a
371.77	3.0	fixation	0.748	VOESocPhys	1.0	n/a
387.279	5.0	fixation	n/a	VOESocPhys	1.0	n/a
404.784	7.0	fixation	n/a	VOESocPhys	1.0	n/a
7.005000000000003	12.25	psychology_goals_fam_1	n/a	VOESocPhys	n/a	stimuli/VOE/psychology/goal_exp1/fam.mp4
24.518	12.25	psychology_goals_exp_1	n/a	VOESocPhys	n/a	stimuli/VOE/psychology/goal_exp1/exp.mp4
42.039	12.25	psychology_goals_unexp_1	n/a	VOESocPhys	n/a	stimuli/VOE/psychology/goal_exp1/unexp.mp4
59.554	12.25	physics_solidity_fam_1	n/a	VOESocPhys	n/a	stimuli/VOE/physics/solidity_exp1/fam_flip.mp4
79.063	12.25	physics_solidity_exp_1	n/a	VOESocPhys	n/a	stimuli/VOE/physics/solidity_exp1/exp_flip.mp4
94.576	12.25	physics_solidity_unexp_1	n/a	VOESocPhys	n/a	stimuli/VOE/physics/solidity_exp1/unexp_flip.mp4
112.091	12.25	psychology_efficiency_fam_1	n/a	VOESocPhys	n/a	stimuli/VOE/psychology/efficiency_exp1/fam_flip.mp4
129.605	12.25	psychology_efficiency_exp_1	n/a	VOESocPhys	n/a	stimuli/VOE/psychology/efficiency_exp1/exp_flip.mp4
149.116	12.25	psychology_efficiency_unexp_1	n/a	VOESocPhys	n/a	stimuli/VOE/psychology/efficiency_exp1/unexp_flip.mp4
164.63	12.25	physics_support_fam_1	n/a	VOESocPhys	n/a	stimuli/VOE/physics/support_exp1/fam.mp4
182.139	12.25	physics_support_unexp_1	n/a	VOESocPhys	n/a	stimuli/VOE/physics/support_exp1/unexp.mp4
199.649	12.25	physics_support_exp_1	n/a	VOESocPhys	n/a	stimuli/VOE/physics/support_exp1/exp.mp4
219.167	12.25	psychology_efficiency_fam_2	n/a	VOESocPhys	n/a	stimuli/VOE/psychology/efficiency_exp1/fam_flip.mp4
238.68400000000003	12.25	psychology_efficiency_exp_2	n/a	VOESocPhys	n/a	stimuli/VOE/psychology/efficiency_exp1/exp_flip.mp4
258.197	12.25	psychology_efficiency_unexp_2	n/a	VOESocPhys	n/a	stimuli/VOE/psychology/efficiency_exp1/unexp_flip.mp4
273.71	12.25	psychology_goals_fam_2	n/a	VOESocPhys	n/a	stimuli/VOE/psychology/goal_exp1/fam_flip.mp4
289.221	12.25	psychology_goals_unexp_2	n/a	VOESocPhys	n/a	stimuli/VOE/psychology/goal_exp1/unexp_flip.mp4
306.72700000000003	12.25	psychology_goals_exp_2	n/a	VOESocPhys	n/a	stimuli/VOE/psychology/goal_exp1/exp_flip.mp4
326.233	12.25	physics_support_fam_2	n/a	VOESocPhys	n/a	stimuli/VOE/physics/support_exp1/fam.mp4
343.746	12.25	physics_support_exp_2	n/a	VOESocPhys	n/a	stimuli/VOE/physics/support_exp1/exp.mp4
359.259	12.25	physics_support_unexp_2	n/a	VOESocPhys	n/a	stimuli/VOE/physics/support_exp1/unexp.mp4
374.773	12.25	physics_solidity_fam_2	n/a	VOESocPhys	n/a	stimuli/VOE/physics/solidity_exp1/fam_flip.mp4
392.28	12.25	physics_solidity_exp_2	n/a	VOESocPhys	n/a	stimuli/VOE/physics/solidity_exp1/exp_flip.mp4
411.788	12.25	physics_solidity_unexp_2	n/a	VOESocPhys	n/a	stimuli/VOE/physics/solidity_exp1/unexp_flip.mp4
