onset	duration	participant	experiment_name	block_order	video_list	trial_type	prop_correct
0.0	26	SAXE_NES2_s026	DOTSloc_Exp2	2	1	rest	0.9375
26.013000000000005	26	SAXE_NES2_s026	DOTSloc_Exp2	2	1	physics	0.9375
52.05500000000001	26	SAXE_NES2_s026	DOTSloc_Exp2	2	1	social	0.9375
78.10300000000001	26	SAXE_NES2_s026	DOTSloc_Exp2	2	1	physics	0.9375
104.142	26	SAXE_NES2_s026	DOTSloc_Exp2	2	1	physics	0.9375
130.179	26	SAXE_NES2_s026	DOTSloc_Exp2	2	1	social	0.9375
156.214	26	SAXE_NES2_s026	DOTSloc_Exp2	2	1	social	0.9375
182.257	26	SAXE_NES2_s026	DOTSloc_Exp2	2	1	physics	0.9375
208.293	26	SAXE_NES2_s026	DOTSloc_Exp2	2	1	social	0.9375
234.336	26	SAXE_NES2_s026	DOTSloc_Exp2	2	1	rest	0.9375
260.346	26	SAXE_NES2_s026	DOTSloc_Exp2	2	1	social	0.9375
286.386	26	SAXE_NES2_s026	DOTSloc_Exp2	2	1	physics	0.9375
312.431	26	SAXE_NES2_s026	DOTSloc_Exp2	2	1	social	0.9375
338.47	26	SAXE_NES2_s026	DOTSloc_Exp2	2	1	social	0.9375
364.501	26	SAXE_NES2_s026	DOTSloc_Exp2	2	1	physics	0.9375
390.543	26	SAXE_NES2_s026	DOTSloc_Exp2	2	1	physics	0.9375
416.585	26	SAXE_NES2_s026	DOTSloc_Exp2	2	1	social	0.9375
442.625	26	SAXE_NES2_s026	DOTSloc_Exp2	2	1	physics	0.9375
468.668	26	SAXE_NES2_s026	DOTSloc_Exp2	2	1	rest	0.9375
