onset	duration	participant	experiment_name	block_order	video_list	trial_type	prop_correct
0.0	26	SAXE_NES2_s022	DOTSloc_Exp2	2	1	rest	0.4375
26.014000000000003	26	SAXE_NES2_s022	DOTSloc_Exp2	2	1	physics	0.4375
52.059000000000005	26	SAXE_NES2_s022	DOTSloc_Exp2	2	1	social	0.4375
78.09800000000001	26	SAXE_NES2_s022	DOTSloc_Exp2	2	1	physics	0.4375
104.138	26	SAXE_NES2_s022	DOTSloc_Exp2	2	1	physics	0.4375
130.173	26	SAXE_NES2_s022	DOTSloc_Exp2	2	1	social	0.4375
156.219	26	SAXE_NES2_s022	DOTSloc_Exp2	2	1	social	0.4375
182.269	26	SAXE_NES2_s022	DOTSloc_Exp2	2	1	physics	0.4375
208.316	26	SAXE_NES2_s022	DOTSloc_Exp2	2	1	social	0.4375
234.357	26	SAXE_NES2_s022	DOTSloc_Exp2	2	1	rest	0.4375
260.372	26	SAXE_NES2_s022	DOTSloc_Exp2	2	1	social	0.4375
286.419	26	SAXE_NES2_s022	DOTSloc_Exp2	2	1	physics	0.4375
312.464	26	SAXE_NES2_s022	DOTSloc_Exp2	2	1	social	0.4375
338.503	26	SAXE_NES2_s022	DOTSloc_Exp2	2	1	social	0.4375
364.539	26	SAXE_NES2_s022	DOTSloc_Exp2	2	1	physics	0.4375
390.578	26	SAXE_NES2_s022	DOTSloc_Exp2	2	1	physics	0.4375
416.627	26	SAXE_NES2_s022	DOTSloc_Exp2	2	1	social	0.4375
442.671	26	SAXE_NES2_s022	DOTSloc_Exp2	2	1	physics	0.4375
468.709	26	SAXE_NES2_s022	DOTSloc_Exp2	2	1	rest	0.4375
