onset	duration	trial_type	response_time	experimentName	correct	stim_path
0.0	3.0	fixation	n/a	VOESocPhys	1.0	n/a
15.51400000000001	5.0	fixation	n/a	VOESocPhys	1.0	n/a
33.024	7.0	fixation	0.4679999999999999	VOESocPhys	1.0	n/a
52.536	7.0	fixation	n/a	VOESocPhys	1.0	n/a
72.04400000000003	5.0	fixation	0.497	VOESocPhys	1.0	n/a
89.56	3.0	fixation	0.386	VOESocPhys	1.0	n/a
105.06900000000002	7.0	fixation	n/a	VOESocPhys	1.0	n/a
124.579	7.0	fixation	0.496	VOESocPhys	1.0	n/a
144.091	7.0	fixation	0.561	VOESocPhys	1.0	n/a
163.60200000000003	3.0	fixation	0.488	VOESocPhys	1.0	n/a
179.11200000000005	7.0	fixation	0.6759999999999999	VOESocPhys	1.0	n/a
198.623	3.0	fixation	0.611	VOESocPhys	0.0	n/a
214.135	7.0	fixation	n/a	VOESocPhys	1.0	n/a
233.64500000000004	3.0	fixation	0.623	VOESocPhys	1.0	n/a
249.15700000000004	5.0	fixation	n/a	VOESocPhys	1.0	n/a
266.668	5.0	fixation	n/a	VOESocPhys	1.0	n/a
284.18	7.0	fixation	0.86	VOESocPhys	1.0	n/a
303.69	7.0	fixation	n/a	VOESocPhys	1.0	n/a
323.2	5.0	fixation	0.617	VOESocPhys	1.0	n/a
340.714	3.0	fixation	n/a	VOESocPhys	1.0	n/a
356.2290000000001	7.0	fixation	n/a	VOESocPhys	1.0	n/a
375.73800000000006	7.0	fixation	n/a	VOESocPhys	1.0	n/a
395.251	5.0	fixation	0.59	VOESocPhys	1.0	n/a
412.763	7.0	fixation	0.613	VOESocPhys	1.0	n/a
3.005000000000024	12.25	psychology_efficiency_fam_1	n/a	VOESocPhys	n/a	stimuli/VOE/psychology/efficiency_exp1/fam.mp4
20.518	12.25	psychology_efficiency_unexp_1	n/a	VOESocPhys	n/a	stimuli/VOE/psychology/efficiency_exp1/unexp.mp4
40.02600000000001	12.25	psychology_efficiency_exp_1	n/a	VOESocPhys	n/a	stimuli/VOE/psychology/efficiency_exp1/exp.mp4
59.539000000000016	12.25	psychology_goals_fam_1	n/a	VOESocPhys	n/a	stimuli/VOE/psychology/goal_exp1/fam.mp4
77.04899999999999	12.25	psychology_goals_unexp_1	n/a	VOESocPhys	n/a	stimuli/VOE/psychology/goal_exp1/unexp.mp4
92.56300000000002	12.25	psychology_goals_exp_1	n/a	VOESocPhys	n/a	stimuli/VOE/psychology/goal_exp1/exp.mp4
112.07300000000004	12.25	physics_support_fam_1	n/a	VOESocPhys	n/a	stimuli/VOE/physics/support_exp1/fam_flip.mp4
131.58500000000004	12.25	physics_support_exp_1	n/a	VOESocPhys	n/a	stimuli/VOE/physics/support_exp1/exp_flip.mp4
151.09500000000003	12.25	physics_support_unexp_1	n/a	VOESocPhys	n/a	stimuli/VOE/physics/support_exp1/unexp_flip.mp4
166.60400000000004	12.25	physics_solidity_fam_1	n/a	VOESocPhys	n/a	stimuli/VOE/physics/solidity_exp1/fam.mp4
186.11600000000004	12.25	physics_solidity_unexp_1	n/a	VOESocPhys	n/a	stimuli/VOE/physics/solidity_exp1/unexp.mp4
201.62600000000003	12.25	physics_solidity_exp_1	n/a	VOESocPhys	n/a	stimuli/VOE/physics/solidity_exp1/exp.mp4
221.136	12.25	physics_support_fam_2	n/a	VOESocPhys	n/a	stimuli/VOE/physics/support_exp1/fam_flip.mp4
236.647	12.25	physics_support_exp_2	n/a	VOESocPhys	n/a	stimuli/VOE/physics/support_exp1/exp_flip.mp4
254.159	12.25	physics_support_unexp_2	n/a	VOESocPhys	n/a	stimuli/VOE/physics/support_exp1/unexp_flip.mp4
271.672	12.25	psychology_efficiency_fam_2	n/a	VOESocPhys	n/a	stimuli/VOE/psychology/efficiency_exp1/fam_flip.mp4
291.184	12.25	psychology_efficiency_unexp_2	n/a	VOESocPhys	n/a	stimuli/VOE/psychology/efficiency_exp1/unexp_flip.mp4
310.6930000000001	12.25	psychology_efficiency_exp_2	n/a	VOESocPhys	n/a	stimuli/VOE/psychology/efficiency_exp1/exp_flip.mp4
328.2030000000001	12.25	physics_solidity_fam_2	n/a	VOESocPhys	n/a	stimuli/VOE/physics/solidity_exp1/fam_flip.mp4
343.7170000000001	12.25	physics_solidity_exp_2	n/a	VOESocPhys	n/a	stimuli/VOE/physics/solidity_exp1/exp_flip.mp4
363.232	12.25	physics_solidity_unexp_2	n/a	VOESocPhys	n/a	stimuli/VOE/physics/solidity_exp1/unexp_flip.mp4
382.741	12.25	psychology_goals_fam_2	n/a	VOESocPhys	n/a	stimuli/VOE/psychology/goal_exp1/fam_flip.mp4
400.253	12.25	psychology_goals_exp_2	n/a	VOESocPhys	n/a	stimuli/VOE/psychology/goal_exp1/exp_flip.mp4
419.766	12.25	psychology_goals_unexp_2	n/a	VOESocPhys	n/a	stimuli/VOE/psychology/goal_exp1/unexp_flip.mp4
