task	description	conds	weights
VOE	alltest-unexp-gt-exp	psychology_efficiency_fam psychology_efficiency_unexp psychology_efficiency_exp psychology_goals_fam psychology_goals_unexp psychology_goals_exp physics_support_fam physics_support_unexp physics_support_exp physics_solidity_fam physics_solidity_unexp physics_solidity_exp	0 1 -1 0 1 -1 0 1 -1 0 1 -1
VOE	phystest-unexp-gt-exp	psychology_efficiency_fam psychology_efficiency_unexp psychology_efficiency_exp psychology_goals_fam psychology_goals_unexp psychology_goals_exp physics_support_fam physics_support_unexp physics_support_exp physics_solidity_fam physics_solidity_unexp physics_solidity_exp	0 0 0 0 0 0 0 1 -1 0 1 -1
VOE	psychtest-unexp-gt-exp	psychology_efficiency_fam psychology_efficiency_unexp psychology_efficiency_exp psychology_goals_fam psychology_goals_unexp psychology_goals_exp physics_support_fam physics_support_unexp physics_support_exp physics_solidity_fam physics_solidity_unexp physics_solidity_exp	0 1 -1 0 1 -1 0 0 0 0 0 0
VOE	allpsych-gt-allphys	psychology_efficiency_fam psychology_efficiency_unexp psychology_efficiency_exp psychology_goals_fam psychology_goals_unexp psychology_goals_exp physics_support_fam physics_support_unexp physics_support_exp physics_solidity_fam physics_solidity_unexp physics_solidity_exp	1 1 1 1 1 1 -1 -1 -1 -1 -1 -1
VOE	allphys-gt-allpsych	psychology_efficiency_fam psychology_efficiency_unexp psychology_efficiency_exp psychology_goals_fam psychology_goals_unexp psychology_goals_exp physics_support_fam physics_support_unexp physics_support_exp physics_solidity_fam physics_solidity_unexp physics_solidity_exp	-1 -1 -1 -1 -1 -1 1 1 1 1 1 1
VOE	psychtest-goal-unexp-gt-exp	psychology_efficiency_fam psychology_efficiency_unexp psychology_efficiency_exp psychology_goals_fam psychology_goals_unexp psychology_goals_exp physics_support_fam physics_support_unexp physics_support_exp physics_solidity_fam physics_solidity_unexp physics_solidity_exp	0 0 0 0 1 -1 0 0 0 0 0 0
VOE	psychtest-effic-unexp-gt-exp	psychology_efficiency_fam psychology_efficiency_unexp psychology_efficiency_exp psychology_goals_fam psychology_goals_unexp psychology_goals_exp physics_support_fam physics_support_unexp physics_support_exp physics_solidity_fam physics_solidity_unexp physics_solidity_exp	0 1 -1 0 0 0 0 0 0 0 0 0
VOE	phystest-solid-unexp-gt-exp	psychology_efficiency_fam psychology_efficiency_unexp psychology_efficiency_exp psychology_goals_fam psychology_goals_unexp psychology_goals_exp physics_support_fam physics_support_unexp physics_support_exp physics_solidity_fam physics_solidity_unexp physics_solidity_exp	0 0 0 0 0 0 0 0 0 0 1 -1
VOE	phystest-support-unexp-gt-exp	psychology_efficiency_fam psychology_efficiency_unexp psychology_efficiency_exp psychology_goals_fam psychology_goals_unexp psychology_goals_exp physics_support_fam physics_support_unexp physics_support_exp physics_solidity_fam physics_solidity_unexp physics_solidity_exp	0 0 0 0 0 0 0 1 -1 0 0 0
VOE	exptest-nosupport-gt-unexptest-nosupport	psychology_efficiency_fam psychology_efficiency_unexp psychology_efficiency_exp psychology_goals_fam psychology_goals_unexp psychology_goals_exp physics_support_fam physics_support_unexp physics_support_exp physics_solidity_fam physics_solidity_unexp physics_solidity_exp	0 -1 1 0 -1 1 0 0 0 0 -1 1
VOE	psychfam-gt-physfam	psychology_efficiency_fam psychology_efficiency_unexp psychology_efficiency_exp psychology_goals_fam psychology_goals_unexp psychology_goals_exp physics_support_fam physics_support_unexp physics_support_exp physics_solidity_fam physics_solidity_unexp physics_solidity_exp	1 0 0 1 0 0 -1 0 0 -1 0 0
VOE	physfam-gt-psychfam	psychology_efficiency_fam psychology_efficiency_unexp psychology_efficiency_exp psychology_goals_fam psychology_goals_unexp psychology_goals_exp physics_support_fam physics_support_unexp physics_support_exp physics_solidity_fam physics_solidity_unexp physics_solidity_exp	-1 0 0 -1 0 0 1 0 0 1 0 0
