onset	duration	trial_type	response_time	trial_type_specific	trial_type_morespecific	experiment_name	participant	correct	time_elapsed	trial_n	correct_answer	subject_correct	event	identical_tests	stim_ID	scenario_string	domain	task	prop_correct	stim_path
0.0030000000000001	10.0	fixation	n/a	fixation	fixation	VOE_Exp2	SAXE_NES2_s031	n/a	44307	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1	n/a
10.018	7.5	psychology_fam	n/a	psychology_efficiency_fam	psychology_efficiency_trial-2-barrier_fam	VOE_Exp2	SAXE_NES2_s031	n/a	51822	1.0	n/a	n/a	fam	no	20.0	trial-2-barrier	psychology	efficiency	1	stimuli/VOE/psychology/efficiency_2.1_noobstacleattest/trial_2_barrier/fam.mp4
17.784	7.5	psychology_unexp	n/a	psychology_efficiency_unexp	psychology_efficiency_trial-2-barrier_unexp	VOE_Exp2	SAXE_NES2_s031	n/a	59588	1.0	n/a	n/a	unexp	no	20.0	trial-2-barrier	psychology	efficiency	1	stimuli/VOE/psychology/efficiency_2.1_noobstacleattest/trial_2_barrier/unexp.mp4
25.544999999999995	2.0	check	0.8385	check	check	VOE_Exp2	SAXE_NES2_s031	1.0	61849	1.0	True	True	unexp	no	20.0	trial-2-barrier	psychology	efficiency	1	stimuli/VOE/psychology/efficiency_2.1_noobstacleattest/trial_2_barrier/agent.png
27.552	7.0	fixation	n/a	fixation	fixation	VOE_Exp2	SAXE_NES2_s031	n/a	68856	1.0	n/a	n/a	n/a	n/a	20.0	trial-2-barrier	n/a	n/a	1	n/a
34.559	7.5	both_fam	n/a	both_agent-solidity_fam	both_agent-solidity_trial-19_fam	VOE_Exp2	SAXE_NES2_s031	n/a	76363	2.0	n/a	n/a	fam	no	31.0	trial-19	both	agent-solidity	1	stimuli/VOE/physics-psychology/efficiency_2.5_agent-solidity/trial_19/fam.mp4
42.32299999999999	7.5	both_unexp	n/a	both_agent-solidity_unexp	both_agent-solidity_trial-19_unexp	VOE_Exp2	SAXE_NES2_s031	n/a	84127	2.0	n/a	n/a	unexp	no	31.0	trial-19	both	agent-solidity	1	stimuli/VOE/physics-psychology/efficiency_2.5_agent-solidity/trial_19/unexp.mp4
50.083	2.0	check	0.6204000000357628	check	check	VOE_Exp2	SAXE_NES2_s031	1.0	86387	2.0	False	True	unexp	no	31.0	trial-19	both	agent-solidity	1	stimuli/VOE/physics-psychology/infer_constraint_3.1/trial_5_over/agent.png
52.09	8.0	fixation	n/a	fixation	fixation	VOE_Exp2	SAXE_NES2_s031	n/a	94394	2.0	n/a	n/a	n/a	n/a	31.0	trial-19	n/a	n/a	1	n/a
60.099	7.5	physics_fam	n/a	physics_permanence_fam	physics_permanence_cone_fam	VOE_Exp2	SAXE_NES2_s031	n/a	101903	3.0	n/a	n/a	fam	yes_last4.5s	9.0	cone	physics	permanence	1	stimuli/VOE/physics/permanence_create_one-becomes-two-fan/cone/fam.mp4
