onset	duration	participant	experiment_name	block_order	video_list	trial_type	prop_correct
0.0	26	SAXE_NES2_s015	DOTSloc_Exp2	2	2	rest	0.75
26.023000000000003	26	SAXE_NES2_s015	DOTSloc_Exp2	2	2	physics	0.75
52.07099999999999	26	SAXE_NES2_s015	DOTSloc_Exp2	2	2	social	0.75
78.107	26	SAXE_NES2_s015	DOTSloc_Exp2	2	2	physics	0.75
104.151	26	SAXE_NES2_s015	DOTSloc_Exp2	2	2	physics	0.75
130.199	26	SAXE_NES2_s015	DOTSloc_Exp2	2	2	social	0.75
156.239	26	SAXE_NES2_s015	DOTSloc_Exp2	2	2	social	0.75
182.283	26	SAXE_NES2_s015	DOTSloc_Exp2	2	2	physics	0.75
208.327	26	SAXE_NES2_s015	DOTSloc_Exp2	2	2	social	0.75
234.371	26	SAXE_NES2_s015	DOTSloc_Exp2	2	2	rest	0.75
260.384	26	SAXE_NES2_s015	DOTSloc_Exp2	2	2	social	0.75
286.428	26	SAXE_NES2_s015	DOTSloc_Exp2	2	2	physics	0.75
312.469	26	SAXE_NES2_s015	DOTSloc_Exp2	2	2	social	0.75
338.504	26	SAXE_NES2_s015	DOTSloc_Exp2	2	2	social	0.75
364.552	26	SAXE_NES2_s015	DOTSloc_Exp2	2	2	physics	0.75
390.6	26	SAXE_NES2_s015	DOTSloc_Exp2	2	2	physics	0.75
416.648	26	SAXE_NES2_s015	DOTSloc_Exp2	2	2	social	0.75
442.696	26	SAXE_NES2_s015	DOTSloc_Exp2	2	2	physics	0.75
468.7360000000001	26	SAXE_NES2_s015	DOTSloc_Exp2	2	2	rest	0.75
