onset	duration	trial_type	response_time	trial_type_specific	trial_type_morespecific	experiment_name	participant	correct	time_elapsed	trial_n	correct_answer	subject_correct	event	identical_tests	stim_ID	scenario_string	domain	task	prop_correct	stim_path
0.0030000000000001	10.0	fixation	n/a	fixation	fixation	VOE_Exp2	SAXE_NES2_s008	n/a	44684	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.9375	n/a
10.015	7.5	both_fam	n/a	both_agent-solidity_fam	both_agent-solidity_trial-19_fam	VOE_Exp2	SAXE_NES2_s008	n/a	52196	1.0	n/a	n/a	fam	no	15.0	trial-19	both	agent-solidity	0.9375	stimuli/VOE/physics-psychology/efficiency_2.5_agent-solidity/trial_19/fam.mp4
17.776000000000003	7.5	both_exp	n/a	both_agent-solidity_exp	both_agent-solidity_trial-19_exp	VOE_Exp2	SAXE_NES2_s008	n/a	59957	1.0	n/a	n/a	exp	no	15.0	trial-19	both	agent-solidity	0.9375	stimuli/VOE/physics-psychology/efficiency_2.5_agent-solidity/trial_19/exp.mp4
25.53400000000001	6.0	fixation	n/a	fixation	fixation	VOE_Exp2	SAXE_NES2_s008	n/a	66215	1.0	n/a	n/a	n/a	n/a	15.0	trial-19	n/a	n/a	0.9375	n/a
31.545	2.0	check	0.9212999999970196	check	check	VOE_Exp2	SAXE_NES2_s008	1.0	68226	1.0	True	True	exp	no	15.0	trial-19	both	agent-solidity	0.9375	stimuli/VOE/physics-psychology/efficiency_2.5_agent-solidity/trial_19/agent.png
33.55500000000001	7.5	physics_fam	n/a	physics_solidity_fam	physics_solidity_cube_fam	VOE_Exp2	SAXE_NES2_s008	n/a	75736	2.0	n/a	n/a	fam	no	7.0	cube	physics	solidity	0.9375	stimuli/VOE/physics/solidity_block_barrier/cube/fam.mp4
41.321	7.5	physics_exp	n/a	physics_solidity_exp	physics_solidity_cube_exp	VOE_Exp2	SAXE_NES2_s008	n/a	83502	2.0	n/a	n/a	exp	no	7.0	cube	physics	solidity	0.9375	stimuli/VOE/physics/solidity_block_barrier/cube/exp.mp4
49.084	7.0	fixation	n/a	fixation	fixation	VOE_Exp2	SAXE_NES2_s008	n/a	90765	2.0	n/a	n/a	n/a	n/a	7.0	cube	n/a	n/a	0.9375	n/a
56.09100000000001	2.0	check	0.865300000011921	check	check	VOE_Exp2	SAXE_NES2_s008	1.0	92772	2.0	False	True	exp	no	7.0	cube	physics	solidity	0.9375	stimuli/VOE/physics/permanence_invisible_discontinuous_two-become-one-occluders/toy/object.png
58.10000000000001	7.5	both_fam	n/a	both_infer-constraint_fam	both_infer-constraint_trial-34-around_fam	VOE_Exp2	SAXE_NES2_s008	n/a	100281	3.0	n/a	n/a	fam	no	29.0	trial-34-around	both	infer-constraint	0.9375	stimuli/VOE/physics-psychology/infer_constraint_3.1/trial_34_around/fam.mp4
65.86500000000001	7.5	both_unexp	n/a	both_infer-constraint_unexp	both_infer-constraint_trial-34-around_unexp	VOE_Exp2	SAXE_NES2_s008	n/a	108046	3.0	n/a	n/a	unexp	no	29.0	trial-34-around	both	infer-constraint	0.9375	stimuli/VOE/physics-psychology/infer_constraint_3.1/trial_34_around/unexp.mp4
73.628	5.0	fixation	n/a	fixation	fixation	VOE_Exp2	SAXE_NES2_s008	n/a	113309	3.0	n/a	n/a	n/a	n/a	29.0	trial-34-around	n/a	n/a	0.9375	n/a
78.634	2.0	check	0.8346000000089407	check	check	VOE_Exp2	SAXE_NES2_s008	1.0	115315	3.0	True	True	unexp	no	29.0	trial-34-around	both	infer-constraint	0.9375	stimuli/VOE/physics-psychology/infer_constraint_3.1/trial_34_around/agent.png
80.644	7.5	physics_fam	n/a	physics_solidity_fam	physics_solidity_chair_fam	VOE_Exp2	SAXE_NES2_s008	n/a	122825	4.0	n/a	n/a	fam	no	22.0	chair	physics	solidity	0.9375	stimuli/VOE/physics/solidity_long_overturn_fan/chair/fam.mp4
88.409	7.5	physics_exp	n/a	physics_solidity_exp	physics_solidity_chair_exp	VOE_Exp2	SAXE_NES2_s008	n/a	130590	4.0	n/a	n/a	exp	no	22.0	chair	physics	solidity	0.9375	stimuli/VOE/physics/solidity_long_overturn_fan/chair/exp.mp4
96.169	10.0	fixation	n/a	fixation	fixation	VOE_Exp2	SAXE_NES2_s008	n/a	140850	4.0	n/a	n/a	n/a	n/a	22.0	chair	n/a	n/a	0.9375	n/a
106.176	2.0	check	1.1196000000089408	check	check	VOE_Exp2	SAXE_NES2_s008	1.0	142857	4.0	True	True	exp	no	22.0	chair	physics	solidity	0.9375	stimuli/VOE/physics/solidity_long_overturn_fan/chair/occluder.png
108.18500000000002	7.5	both_fam	n/a	both_infer-constraint_fam	both_infer-constraint_trial-5-over_fam	VOE_Exp2	SAXE_NES2_s008	n/a	150366	5.0	n/a	n/a	fam	no	12.0	trial-5-over	both	infer-constraint	0.9375	stimuli/VOE/physics-psychology/infer_constraint_3.1/trial_5_over/fam.mp4
115.944	7.5	both_unexp	n/a	both_infer-constraint_unexp	both_infer-constraint_trial-5-over_unexp	VOE_Exp2	SAXE_NES2_s008	n/a	158125	5.0	n/a	n/a	unexp	no	12.0	trial-5-over	both	infer-constraint	0.9375	stimuli/VOE/physics-psychology/infer_constraint_3.1/trial_5_over/unexp.mp4
123.71	8.0	fixation	n/a	fixation	fixation	VOE_Exp2	SAXE_NES2_s008	n/a	166391	5.0	n/a	n/a	n/a	n/a	12.0	trial-5-over	n/a	n/a	0.9375	n/a
131.71800000000002	2.0	check	0.7135	check	check	VOE_Exp2	SAXE_NES2_s008	1.0	168399	5.0	True	True	unexp	no	12.0	trial-5-over	both	infer-constraint	0.9375	stimuli/VOE/physics-psychology/infer_constraint_3.1/trial_5_over/agent.png
133.72699999999998	7.5	psychology_fam	n/a	psychology_goal_fam	psychology_goal_trial-9_fam	VOE_Exp2	SAXE_NES2_s008	n/a	175908	6.0	n/a	n/a	fam	yes	16.0	trial-9	psychology	goal	0.9375	stimuli/VOE/psychology/goal_1.1_noobstacles/trial_9/fam_exp.mp4
141.491	7.5	psychology_exp	n/a	psychology_goal_exp	psychology_goal_trial-9_exp	VOE_Exp2	SAXE_NES2_s008	n/a	183672	6.0	n/a	n/a	exp	yes	16.0	trial-9	psychology	goal	0.9375	stimuli/VOE/psychology/goal_1.1_noobstacles/trial_9/test.mp4
149.255	7.0	fixation	n/a	fixation	fixation	VOE_Exp2	SAXE_NES2_s008	n/a	190936	6.0	n/a	n/a	n/a	n/a	16.0	trial-9	n/a	n/a	0.9375	n/a
156.262	2.0	check	0.8392999999970198	check	check	VOE_Exp2	SAXE_NES2_s008	1.0	192943	6.0	False	True	exp	yes	16.0	trial-9	psychology	goal	0.9375	stimuli/VOE/psychology/efficiency_exp1/agent.png
158.269	7.5	both_fam	n/a	both_agent-solidity_fam	both_agent-solidity_trial-11_fam	VOE_Exp2	SAXE_NES2_s008	n/a	200450	7.0	n/a	n/a	fam	no	14.0	trial-11	both	agent-solidity	0.9375	stimuli/VOE/physics-psychology/efficiency_2.5_agent-solidity/trial_11/fam.mp4
166.03699999999998	7.5	both_unexp	n/a	both_agent-solidity_unexp	both_agent-solidity_trial-11_unexp	VOE_Exp2	SAXE_NES2_s008	n/a	208218	7.0	n/a	n/a	unexp	no	14.0	trial-11	both	agent-solidity	0.9375	stimuli/VOE/physics-psychology/efficiency_2.5_agent-solidity/trial_11/unexp.mp4
173.803	8.0	fixation	n/a	fixation	fixation	VOE_Exp2	SAXE_NES2_s008	n/a	216484	7.0	n/a	n/a	n/a	n/a	14.0	trial-11	n/a	n/a	0.9375	n/a
181.81	2.0	check	1.2957999999970198	check	check	VOE_Exp2	SAXE_NES2_s008	1.0	218491	7.0	True	True	unexp	no	14.0	trial-11	both	agent-solidity	0.9375	stimuli/VOE/physics-psychology/efficiency_2.5_agent-solidity/trial_11/surface.png
183.818	7.5	psychology_fam	n/a	psychology_efficiency_fam	psychology_efficiency_trial-14-pit_fam	VOE_Exp2	SAXE_NES2_s008	n/a	225999	8.0	n/a	n/a	fam	no	3.0	trial-14-pit	psychology	efficiency	0.9375	stimuli/VOE/psychology/efficiency_2.1_noobstacleattest/trial_14_pit/fam.mp4
191.586	7.5	psychology_unexp	n/a	psychology_efficiency_unexp	psychology_efficiency_trial-14-pit_unexp	VOE_Exp2	SAXE_NES2_s008	n/a	233767	8.0	n/a	n/a	unexp	no	3.0	trial-14-pit	psychology	efficiency	0.9375	stimuli/VOE/psychology/efficiency_2.1_noobstacleattest/trial_14_pit/unexp.mp4
199.35	9.0	fixation	n/a	fixation	fixation	VOE_Exp2	SAXE_NES2_s008	n/a	243031	8.0	n/a	n/a	n/a	n/a	3.0	trial-14-pit	n/a	n/a	0.9375	n/a
208.35700000000003	2.0	check	n/a	check	check	VOE_Exp2	SAXE_NES2_s008	n/a	245038	8.0	False	n/a	unexp	no	3.0	trial-14-pit	psychology	efficiency	0.9375	stimuli/VOE/psychology/goal_1.1_noobstacles/trial_9/agent.png
