onset	duration	participant	experiment_name	block_order	video_list	trial_type	prop_correct
0.0	26	SAXE_NES2_s005	DOTSloc_Exp2	1	1	rest	0.75
26.012	26	SAXE_NES2_s005	DOTSloc_Exp2	1	1	social	0.75
52.031000000000006	26	SAXE_NES2_s005	DOTSloc_Exp2	1	1	physics	0.75
78.05799999999999	26	SAXE_NES2_s005	DOTSloc_Exp2	1	1	social	0.75
104.085	26	SAXE_NES2_s005	DOTSloc_Exp2	1	1	social	0.75
130.10700000000003	26	SAXE_NES2_s005	DOTSloc_Exp2	1	1	physics	0.75
156.12900000000002	26	SAXE_NES2_s005	DOTSloc_Exp2	1	1	physics	0.75
182.155	26	SAXE_NES2_s005	DOTSloc_Exp2	1	1	social	0.75
208.181	26	SAXE_NES2_s005	DOTSloc_Exp2	1	1	physics	0.75
234.203	26	SAXE_NES2_s005	DOTSloc_Exp2	1	1	rest	0.75
260.212	26	SAXE_NES2_s005	DOTSloc_Exp2	1	1	physics	0.75
286.237	26	SAXE_NES2_s005	DOTSloc_Exp2	1	1	social	0.75
312.257	26	SAXE_NES2_s005	DOTSloc_Exp2	1	1	physics	0.75
338.28	26	SAXE_NES2_s005	DOTSloc_Exp2	1	1	physics	0.75
364.309	26	SAXE_NES2_s005	DOTSloc_Exp2	1	1	social	0.75
390.336	26	SAXE_NES2_s005	DOTSloc_Exp2	1	1	social	0.75
416.364	26	SAXE_NES2_s005	DOTSloc_Exp2	1	1	physics	0.75
442.395	26	SAXE_NES2_s005	DOTSloc_Exp2	1	1	social	0.75
468.415	26	SAXE_NES2_s005	DOTSloc_Exp2	1	1	rest	0.75
