onset	duration	trial_type	response_time	trial_type_specific	trial_type_morespecific	experiment_name	participant	correct	time_elapsed	trial_n	correct_answer	subject_correct	event	identical_tests	stim_ID	scenario_string	domain	task	prop_correct	stim_path
0.0050000000000025	10.0	fixation	n/a	fixation	fixation	VOE_Exp2	SAXE_NES2_s020	n/a	49514	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.9375	n/a
10.018999999999998	7.5	physics_fam	n/a	physics_solidity_fam	physics_solidity_rectangular_fam	VOE_Exp2	SAXE_NES2_s020	n/a	57028	1.0	n/a	n/a	fam	no	55.0	rectangular	physics	solidity	0.9375	stimuli/VOE/physics/solidity_block_barrier/rectangular/fam.mp4
17.79	7.5	physics_unexp	n/a	physics_solidity_unexp	physics_solidity_rectangular_unexp	VOE_Exp2	SAXE_NES2_s020	n/a	64799	1.0	n/a	n/a	unexp	no	55.0	rectangular	physics	solidity	0.9375	stimuli/VOE/physics/solidity_block_barrier/rectangular/unexp.mp4
25.562	2.0	check	0.6525999999940395	check	check	VOE_Exp2	SAXE_NES2_s020	1.0	67071	1.0	False	True	unexp	no	55.0	rectangular	physics	solidity	0.9375	stimuli/VOE/physics/solidity_long_overturn_fan/cone/object.png
27.578000000000003	10.0	fixation	n/a	fixation	fixation	VOE_Exp2	SAXE_NES2_s020	n/a	77087	1.0	n/a	n/a	n/a	n/a	55.0	rectangular	n/a	n/a	0.9375	n/a
37.587	7.5	physics_fam	n/a	physics_solidity_fam	physics_solidity_sphere_fam	VOE_Exp2	SAXE_NES2_s020	n/a	84596	2.0	n/a	n/a	fam	no	56.0	sphere	physics	solidity	0.9375	stimuli/VOE/physics/solidity_block_barrier/sphere/fam.mp4
45.357	7.5	physics_exp	n/a	physics_solidity_exp	physics_solidity_sphere_exp	VOE_Exp2	SAXE_NES2_s020	n/a	92366	2.0	n/a	n/a	exp	no	56.0	sphere	physics	solidity	0.9375	stimuli/VOE/physics/solidity_block_barrier/sphere/exp.mp4
53.120000000000005	2.0	check	0.8278999999761582	check	check	VOE_Exp2	SAXE_NES2_s020	1.0	94629	2.0	True	True	exp	no	56.0	sphere	physics	solidity	0.9375	stimuli/VOE/physics/solidity_block_barrier/sphere/barrier.png
55.129000000000005	8.0	fixation	n/a	fixation	fixation	VOE_Exp2	SAXE_NES2_s020	n/a	102638	2.0	n/a	n/a	n/a	n/a	56.0	sphere	n/a	n/a	0.9375	n/a
63.137	7.5	both_fam	n/a	both_agent-solidity_fam	both_agent-solidity_trial-19_fam	VOE_Exp2	SAXE_NES2_s020	n/a	110146	3.0	n/a	n/a	fam	no	47.0	trial-19	both	agent-solidity	0.9375	stimuli/VOE/physics-psychology/efficiency_2.5_agent-solidity/trial_19/fam.mp4
70.91	7.5	both_exp	n/a	both_agent-solidity_exp	both_agent-solidity_trial-19_exp	VOE_Exp2	SAXE_NES2_s020	n/a	117919	3.0	n/a	n/a	exp	no	47.0	trial-19	both	agent-solidity	0.9375	stimuli/VOE/physics-psychology/efficiency_2.5_agent-solidity/trial_19/exp.mp4
78.678	2.0	check	1.313	check	check	VOE_Exp2	SAXE_NES2_s020	1.0	120187	3.0	False	True	exp	no	47.0	trial-19	both	infer-constraint	0.9375	stimuli/VOE/physics-psychology/infer_constraint_3.1/trial_5_over/object.png
80.69	8.0	fixation	n/a	fixation	fixation	VOE_Exp2	SAXE_NES2_s020	n/a	128199	3.0	n/a	n/a	n/a	n/a	47.0	trial-19	n/a	n/a	0.9375	n/a
88.70200000000001	7.5	psychology_fam	n/a	psychology_goal_fam	psychology_goal_trial-1_fam	VOE_Exp2	SAXE_NES2_s020	n/a	135711	4.0	n/a	n/a	fam	no	32.0	trial-1	psychology	goal	0.9375	stimuli/VOE/psychology/goal_1.1_noobstacles/trial_1/fam.mp4
