onset	duration	trial_type	response_time	trial_type_specific	trial_type_morespecific	experiment_name	participant	correct	time_elapsed	trial_n	correct_answer	subject_correct	event	identical_tests	stim_ID	scenario_string	domain	task	prop_correct	stim_path
0.0039999999999906	10.0	fixation	n/a	fixation	fixation	VOE_Exp2	SAXE_NES2_s010	n/a	77041	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.875	n/a
10.015	7.5	psychology_fam	n/a	psychology_efficiency_fam	psychology_efficiency_efficiency-exp1_fam	VOE_Exp2	SAXE_NES2_s010	n/a	84552	1.0	n/a	n/a	fam	no	21.0	efficiency-exp1	psychology	efficiency	0.875	stimuli/VOE/psychology/efficiency_exp1/fam.mp4
17.77499999999999	7.5	psychology_exp	n/a	psychology_efficiency_exp	psychology_efficiency_efficiency-exp1_exp	VOE_Exp2	SAXE_NES2_s010	n/a	92312	1.0	n/a	n/a	exp	no	21.0	efficiency-exp1	psychology	efficiency	0.875	stimuli/VOE/psychology/efficiency_exp1/exp.mp4
25.532	7.0	fixation	n/a	fixation	fixation	VOE_Exp2	SAXE_NES2_s010	n/a	99569	1.0	n/a	n/a	n/a	n/a	21.0	efficiency-exp1	n/a	n/a	0.875	n/a
32.541	2.0	check	1.2008999999910592	check	check	VOE_Exp2	SAXE_NES2_s010	0.0	101578	1.0	False	False	exp	no	21.0	efficiency-exp1	psychology	efficiency	0.875	stimuli/VOE/psychology/goal_1.1_noobstacles/trial_9/agent.png
34.54799999999999	7.5	physics_fam	n/a	physics_permanence_fam	physics_permanence_cone_fam	VOE_Exp2	SAXE_NES2_s010	n/a	109085	2.0	n/a	n/a	fam	yes_last4.5s	25.0	cone	physics	permanence	0.875	stimuli/VOE/physics/permanence_create_one-becomes-two-fan/cone/fam.mp4
42.315	7.5	physics_exp	n/a	physics_permanence_exp	physics_permanence_cone_exp	VOE_Exp2	SAXE_NES2_s010	n/a	116852	2.0	n/a	n/a	exp	yes_last4.5s	25.0	cone	physics	permanence	0.875	stimuli/VOE/physics/permanence_create_one-becomes-two-fan/cone/exp.mp4
50.07899999999999	9.0	fixation	n/a	fixation	fixation	VOE_Exp2	SAXE_NES2_s010	n/a	126116	2.0	n/a	n/a	n/a	n/a	25.0	cone	n/a	n/a	0.875	n/a
59.086	2.0	check	0.9747000000029802	check	check	VOE_Exp2	SAXE_NES2_s010	1.0	128123	2.0	False	True	exp	yes_last4.5s	25.0	cone	physics	permanence	0.875	stimuli/VOE/physics/solidity_block_barrier/cube/barrier.png
61.095	7.5	physics_fam	n/a	physics_solidity_fam	physics_solidity_cube_fam	VOE_Exp2	SAXE_NES2_s010	n/a	135632	3.0	n/a	n/a	fam	no	7.0	cube	physics	solidity	0.875	stimuli/VOE/physics/solidity_block_barrier/cube/fam.mp4
68.856	7.5	physics_exp	n/a	physics_solidity_exp	physics_solidity_cube_exp	VOE_Exp2	SAXE_NES2_s010	n/a	143393	3.0	n/a	n/a	exp	no	7.0	cube	physics	solidity	0.875	stimuli/VOE/physics/solidity_block_barrier/cube/exp.mp4
76.61499999999998	4.0	fixation	n/a	fixation	fixation	VOE_Exp2	SAXE_NES2_s010	n/a	147652	3.0	n/a	n/a	n/a	n/a	7.0	cube	n/a	n/a	0.875	n/a
80.62099999999998	2.0	check	1.98859999999404	check	check	VOE_Exp2	SAXE_NES2_s010	1.0	149658	3.0	True	True	exp	no	7.0	cube	physics	solidity	0.875	stimuli/VOE/physics/solidity_block_barrier/cube/barrier.png
82.62699999999998	7.5	psychology_fam	n/a	psychology_goal_fam	psychology_goal_trial-9_fam	VOE_Exp2	SAXE_NES2_s010	n/a	157164	4.0	n/a	n/a	fam	yes	16.0	trial-9	psychology	goal	0.875	stimuli/VOE/psychology/goal_1.1_noobstacles/trial_9/fam_exp.mp4
90.39499999999998	7.5	psychology_exp	n/a	psychology_goal_exp	psychology_goal_trial-9_exp	VOE_Exp2	SAXE_NES2_s010	n/a	164932	4.0	n/a	n/a	exp	yes	16.0	trial-9	psychology	goal	0.875	stimuli/VOE/psychology/goal_1.1_noobstacles/trial_9/test.mp4
98.155	7.0	fixation	n/a	fixation	fixation	VOE_Exp2	SAXE_NES2_s010	n/a	172192	4.0	n/a	n/a	n/a	n/a	16.0	trial-9	n/a	n/a	0.875	n/a
105.159	2.0	check	1.7788999999910593	check	check	VOE_Exp2	SAXE_NES2_s010	1.0	174196	4.0	True	True	exp	yes	16.0	trial-9	psychology	goal	0.875	stimuli/VOE/psychology/goal_1.1_noobstacles/trial_9/object.png
107.16899999999998	7.5	physics_fam	n/a	physics_permanence_fam	physics_permanence_cube_fam	VOE_Exp2	SAXE_NES2_s010	n/a	181706	5.0	n/a	n/a	fam	yes_last4.5s	26.0	cube	physics	permanence	0.875	stimuli/VOE/physics/permanence_create_one-becomes-two-fan/cube/fam.mp4
114.93	7.5	physics_unexp	n/a	physics_permanence_unexp	physics_permanence_cube_unexp	VOE_Exp2	SAXE_NES2_s010	n/a	189467	5.0	n/a	n/a	unexp	yes_last4.5s	26.0	cube	physics	permanence	0.875	stimuli/VOE/physics/permanence_create_one-becomes-two-fan/cube/unexp.mp4
122.694	9.0	fixation	n/a	fixation	fixation	VOE_Exp2	SAXE_NES2_s010	n/a	198731	5.0	n/a	n/a	n/a	n/a	26.0	cube	n/a	n/a	0.875	n/a
131.701	2.0	check	1.202	check	check	VOE_Exp2	SAXE_NES2_s010	1.0	200738	5.0	True	True	unexp	yes_last4.5s	26.0	cube	physics	permanence	0.875	stimuli/VOE/physics/permanence_create_one-becomes-two-fan/cube/object1.png
133.71	7.5	psychology_fam	n/a	psychology_goal_fam	psychology_goal_trial-16-pedestal_fam	VOE_Exp2	SAXE_NES2_s010	n/a	208247	6.0	n/a	n/a	fam	yes	17.0	trial-16-pedestal	psychology	goal	0.875	stimuli/VOE/psychology/goal_1.1_obstacles/trial_16_pedestal/fam_unexp.mp4
141.474	7.5	psychology_unexp	n/a	psychology_goal_unexp	psychology_goal_trial-16-pedestal_unexp	VOE_Exp2	SAXE_NES2_s010	n/a	216011	6.0	n/a	n/a	unexp	yes	17.0	trial-16-pedestal	psychology	goal	0.875	stimuli/VOE/psychology/goal_1.1_obstacles/trial_16_pedestal/test.mp4
149.237	10.0	fixation	n/a	fixation	fixation	VOE_Exp2	SAXE_NES2_s010	n/a	226274	6.0	n/a	n/a	n/a	n/a	17.0	trial-16-pedestal	n/a	n/a	0.875	n/a
159.244	2.0	check	1.1727999999970198	check	check	VOE_Exp2	SAXE_NES2_s010	1.0	228281	6.0	False	True	unexp	yes	17.0	trial-16-pedestal	psychology	goal	0.875	stimuli/VOE/psychology/efficiency_2.1_noobstacleattest/trial_14_pit/agent.png
161.251	7.5	psychology_fam	n/a	psychology_efficiency_fam	psychology_efficiency_trial-2-barrier_fam	VOE_Exp2	SAXE_NES2_s010	n/a	235788	7.0	n/a	n/a	fam	no	4.0	trial-2-barrier	psychology	efficiency	0.875	stimuli/VOE/psychology/efficiency_2.1_noobstacleattest/trial_2_barrier/fam.mp4
169.015	7.5	psychology_exp	n/a	psychology_efficiency_exp	psychology_efficiency_trial-2-barrier_exp	VOE_Exp2	SAXE_NES2_s010	n/a	243552	7.0	n/a	n/a	exp	no	4.0	trial-2-barrier	psychology	efficiency	0.875	stimuli/VOE/psychology/efficiency_2.1_noobstacleattest/trial_2_barrier/exp.mp4
176.781	5.0	fixation	n/a	fixation	fixation	VOE_Exp2	SAXE_NES2_s010	n/a	248818	7.0	n/a	n/a	n/a	n/a	4.0	trial-2-barrier	n/a	n/a	0.875	n/a
181.79	2.0	check	0.722	check	check	VOE_Exp2	SAXE_NES2_s010	1.0	250827	7.0	False	True	exp	no	4.0	trial-2-barrier	psychology	efficiency	0.875	stimuli/VOE/psychology/efficiency_exp1/surface.png
183.799	7.5	physics_fam	n/a	physics_permanence_fam	physics_permanence_toy_fam	VOE_Exp2	SAXE_NES2_s010	n/a	258336	8.0	n/a	n/a	fam	no	11.0	toy	physics	permanence	0.875	stimuli/VOE/physics/permanence_invisible_discontinuous_two-become-one-occluders/toy/fam.mp4
191.559	7.5	physics_exp	n/a	physics_permanence_exp	physics_permanence_toy_exp	VOE_Exp2	SAXE_NES2_s010	n/a	266096	8.0	n/a	n/a	exp	no	11.0	toy	physics	permanence	0.875	stimuli/VOE/physics/permanence_invisible_discontinuous_two-become-one-occluders/toy/exp.mp4
199.322	7.0	fixation	n/a	fixation	fixation	VOE_Exp2	SAXE_NES2_s010	n/a	273359	8.0	n/a	n/a	n/a	n/a	11.0	toy	n/a	n/a	0.875	n/a
206.329	2.0	check	1.8367000000029805	check	check	VOE_Exp2	SAXE_NES2_s010	0.0	275366	8.0	True	False	exp	no	11.0	toy	physics	permanence	0.875	stimuli/VOE/physics/permanence_invisible_discontinuous_two-become-one-occluders/toy/occluder.png
208.338	7.5	psychology_fam	n/a	psychology_goal_fam	psychology_goal_goal-exp1_fam	VOE_Exp2	SAXE_NES2_s010	n/a	282875	9.0	n/a	n/a	fam	no	2.0	goal-exp1	psychology	goal	0.875	stimuli/VOE/psychology/goal_exp1/fam.mp4
216.103	7.5	psychology_exp	n/a	psychology_goal_exp	psychology_goal_goal-exp1_exp	VOE_Exp2	SAXE_NES2_s010	n/a	290640	9.0	n/a	n/a	exp	no	2.0	goal-exp1	psychology	goal	0.875	stimuli/VOE/psychology/goal_exp1/exp.mp4
223.866	8.0	fixation	n/a	fixation	fixation	VOE_Exp2	SAXE_NES2_s010	n/a	298903	9.0	n/a	n/a	n/a	n/a	2.0	goal-exp1	n/a	n/a	0.875	n/a
231.875	2.0	check	1.118	check	check	VOE_Exp2	SAXE_NES2_s010	1.0	300912	9.0	True	True	exp	no	2.0	goal-exp1	psychology	goal	0.875	stimuli/VOE/psychology/goal_exp1/surface.png
233.88	7.5	psychology_fam	n/a	psychology_efficiency_fam	psychology_efficiency_trial-14-pit_fam	VOE_Exp2	SAXE_NES2_s010	n/a	308417	10.0	n/a	n/a	fam	no	19.0	trial-14-pit	psychology	efficiency	0.875	stimuli/VOE/psychology/efficiency_2.1_noobstacleattest/trial_14_pit/fam.mp4
241.646	7.5	psychology_exp	n/a	psychology_efficiency_exp	psychology_efficiency_trial-14-pit_exp	VOE_Exp2	SAXE_NES2_s010	n/a	316183	10.0	n/a	n/a	exp	no	19.0	trial-14-pit	psychology	efficiency	0.875	stimuli/VOE/psychology/efficiency_2.1_noobstacleattest/trial_14_pit/exp.mp4
249.409	6.0	fixation	n/a	fixation	fixation	VOE_Exp2	SAXE_NES2_s010	n/a	322446	10.0	n/a	n/a	n/a	n/a	19.0	trial-14-pit	n/a	n/a	0.875	n/a
