onset	duration	trial_type	response_time	experimentName	correct	stim_path
0.0	7.0	fixation	n/a	VOESocPhys	1.0	n/a
19.511000000000006	7.0	fixation	n/a	VOESocPhys	1.0	n/a
39.023	3.0	fixation	0.4479999999999999	VOESocPhys	1.0	n/a
54.529	5.0	fixation	0.429	VOESocPhys	0.0	n/a
72.039	5.0	fixation	n/a	VOESocPhys	1.0	n/a
89.55000000000003	7.0	fixation	n/a	VOESocPhys	1.0	n/a
109.059	5.0	fixation	n/a	VOESocPhys	1.0	n/a
126.565	3.0	fixation	0.644	VOESocPhys	1.0	n/a
142.076	5.0	fixation	0.346	VOESocPhys	1.0	n/a
159.584	7.0	fixation	0.492	VOESocPhys	1.0	n/a
179.09400000000002	3.0	fixation	n/a	VOESocPhys	1.0	n/a
194.601	7.0	fixation	n/a	VOESocPhys	1.0	n/a
214.112	5.0	fixation	0.737	VOESocPhys	1.0	n/a
231.622	5.0	fixation	0.342	VOESocPhys	1.0	n/a
249.133	3.0	fixation	0.43	VOESocPhys	1.0	n/a
264.644	3.0	fixation	0.49	VOESocPhys	1.0	n/a
280.152	3.0	fixation	n/a	VOESocPhys	1.0	n/a
295.661	7.0	fixation	0.391	VOESocPhys	1.0	n/a
315.172	5.0	fixation	0.406	VOESocPhys	1.0	n/a
332.68300000000005	5.0	fixation	0.372	VOESocPhys	1.0	n/a
350.195	7.0	fixation	n/a	VOESocPhys	1.0	n/a
369.703	5.0	fixation	n/a	VOESocPhys	1.0	n/a
387.213	7.0	fixation	0.526	VOESocPhys	1.0	n/a
406.726	5.0	fixation	0.38	VOESocPhys	1.0	n/a
7.002000000000002	12.25	physics_support_fam_1	n/a	VOESocPhys	n/a	stimuli/VOE/physics/support_exp1/fam_flip.mp4
26.513000000000005	12.25	physics_support_unexp_1	n/a	VOESocPhys	n/a	stimuli/VOE/physics/support_exp1/unexp_flip.mp4
42.02500000000001	12.25	physics_support_exp_1	n/a	VOESocPhys	n/a	stimuli/VOE/physics/support_exp1/exp_flip.mp4
59.532	12.25	psychology_efficiency_fam_1	n/a	VOESocPhys	n/a	stimuli/VOE/psychology/efficiency_exp1/fam_flip.mp4
77.041	12.25	psychology_efficiency_exp_1	n/a	VOESocPhys	n/a	stimuli/VOE/psychology/efficiency_exp1/exp_flip.mp4
96.55100000000002	12.25	psychology_efficiency_unexp_1	n/a	VOESocPhys	n/a	stimuli/VOE/psychology/efficiency_exp1/unexp_flip.mp4
114.061	12.25	physics_solidity_fam_1	n/a	VOESocPhys	n/a	stimuli/VOE/physics/solidity_exp1/fam_flip.mp4
129.567	12.25	physics_solidity_exp_1	n/a	VOESocPhys	n/a	stimuli/VOE/physics/solidity_exp1/exp_flip.mp4
147.079	12.25	physics_solidity_unexp_1	n/a	VOESocPhys	n/a	stimuli/VOE/physics/solidity_exp1/unexp_flip.mp4
166.588	12.25	psychology_goals_fam_1	n/a	VOESocPhys	n/a	stimuli/VOE/psychology/goal_exp1/fam.mp4
182.097	12.25	psychology_goals_unexp_1	n/a	VOESocPhys	n/a	stimuli/VOE/psychology/goal_exp1/unexp.mp4
201.606	12.25	psychology_goals_exp_1	n/a	VOESocPhys	n/a	stimuli/VOE/psychology/goal_exp1/exp.mp4
219.118	12.25	physics_solidity_fam_2	n/a	VOESocPhys	n/a	stimuli/VOE/physics/solidity_exp1/fam.mp4
236.627	12.25	physics_solidity_unexp_2	n/a	VOESocPhys	n/a	stimuli/VOE/physics/solidity_exp1/unexp.mp4
252.138	12.25	physics_solidity_exp_2	n/a	VOESocPhys	n/a	stimuli/VOE/physics/solidity_exp1/exp.mp4
267.648	12.25	physics_support_fam_2	n/a	VOESocPhys	n/a	stimuli/VOE/physics/support_exp1/fam_flip.mp4
283.153	12.25	physics_support_exp_2	n/a	VOESocPhys	n/a	stimuli/VOE/physics/support_exp1/exp_flip.mp4
302.663	12.25	physics_support_unexp_2	n/a	VOESocPhys	n/a	stimuli/VOE/physics/support_exp1/unexp_flip.mp4
320.17400000000004	12.25	psychology_goals_fam_2	n/a	VOESocPhys	n/a	stimuli/VOE/psychology/goal_exp1/fam_flip.mp4
337.686	12.25	psychology_goals_exp_2	n/a	VOESocPhys	n/a	stimuli/VOE/psychology/goal_exp1/exp_flip.mp4
357.19699999999995	12.25	psychology_goals_unexp_2	n/a	VOESocPhys	n/a	stimuli/VOE/psychology/goal_exp1/unexp_flip.mp4
374.706	12.25	psychology_efficiency_fam_2	n/a	VOESocPhys	n/a	stimuli/VOE/psychology/efficiency_exp1/fam_flip.mp4
394.215	12.25	psychology_efficiency_unexp_2	n/a	VOESocPhys	n/a	stimuli/VOE/psychology/efficiency_exp1/unexp_flip.mp4
411.732	12.25	psychology_efficiency_exp_2	n/a	VOESocPhys	n/a	stimuli/VOE/psychology/efficiency_exp1/exp_flip.mp4
