onset	duration	trial_type	response_time	experimentName	correct	stim_path
0.0	5.0	fixation	n/a	VOESocPhys	1.0	n/a
17.511000000000006	7.0	fixation	n/a	VOESocPhys	1.0	n/a
37.02000000000001	7.0	fixation	0.421	VOESocPhys	1.0	n/a
56.532	3.0	fixation	0.45	VOESocPhys	1.0	n/a
72.038	5.0	fixation	n/a	VOESocPhys	1.0	n/a
89.555	3.0	fixation	0.4579999999999999	VOESocPhys	1.0	n/a
105.064	3.0	fixation	0.484	VOESocPhys	1.0	n/a
120.573	5.0	fixation	n/a	VOESocPhys	1.0	n/a
138.083	7.0	fixation	0.684	VOESocPhys	1.0	n/a
157.593	7.0	fixation	n/a	VOESocPhys	1.0	n/a
177.105	5.0	fixation	0.657	VOESocPhys	1.0	n/a
194.613	7.0	fixation	n/a	VOESocPhys	1.0	n/a
214.123	7.0	fixation	0.446	VOESocPhys	1.0	n/a
233.635	7.0	fixation	n/a	VOESocPhys	1.0	n/a
253.146	3.0	fixation	0.325	VOESocPhys	1.0	n/a
268.654	5.0	fixation	0.435	VOESocPhys	1.0	n/a
286.16600000000005	3.0	fixation	n/a	VOESocPhys	1.0	n/a
301.6749999999999	7.0	fixation	n/a	VOESocPhys	1.0	n/a
321.184	3.0	fixation	n/a	VOESocPhys	1.0	n/a
336.696	3.0	fixation	n/a	VOESocPhys	1.0	n/a
352.2100000000001	7.0	fixation	0.451	VOESocPhys	1.0	n/a
371.722	3.0	fixation	0.35	VOESocPhys	1.0	n/a
387.231	3.0	fixation	n/a	VOESocPhys	1.0	n/a
402.74300000000005	7.0	fixation	1.14	VOESocPhys	1.0	n/a
5.005000000000003	12.25	psychology_efficiency_fam_1	n/a	VOESocPhys	n/a	stimuli/VOE/psychology/efficiency_exp1/fam_flip.mp4
24.513000000000005	12.25	psychology_efficiency_unexp_1	n/a	VOESocPhys	n/a	stimuli/VOE/psychology/efficiency_exp1/unexp_flip.mp4
44.024	12.25	psychology_efficiency_exp_1	n/a	VOESocPhys	n/a	stimuli/VOE/psychology/efficiency_exp1/exp_flip.mp4
59.534000000000006	12.25	psychology_goals_fam_1	n/a	VOESocPhys	n/a	stimuli/VOE/psychology/goal_exp1/fam_flip.mp4
77.043	12.25	psychology_goals_unexp_1	n/a	VOESocPhys	n/a	stimuli/VOE/psychology/goal_exp1/unexp_flip.mp4
92.557	12.25	psychology_goals_exp_1	n/a	VOESocPhys	n/a	stimuli/VOE/psychology/goal_exp1/exp_flip.mp4
108.065	12.25	physics_support_fam_1	n/a	VOESocPhys	n/a	stimuli/VOE/physics/support_exp1/fam_flip.mp4
125.576	12.25	physics_support_unexp_1	n/a	VOESocPhys	n/a	stimuli/VOE/physics/support_exp1/unexp_flip.mp4
145.084	12.25	physics_support_exp_1	n/a	VOESocPhys	n/a	stimuli/VOE/physics/support_exp1/exp_flip.mp4
164.595	12.25	physics_solidity_fam_1	n/a	VOESocPhys	n/a	stimuli/VOE/physics/solidity_exp1/fam.mp4
182.107	12.25	physics_solidity_exp_1	n/a	VOESocPhys	n/a	stimuli/VOE/physics/solidity_exp1/exp.mp4
201.617	12.25	physics_solidity_unexp_1	n/a	VOESocPhys	n/a	stimuli/VOE/physics/solidity_exp1/unexp.mp4
221.125	12.25	physics_support_fam_2	n/a	VOESocPhys	n/a	stimuli/VOE/physics/support_exp1/fam.mp4
240.635	12.25	physics_support_unexp_2	n/a	VOESocPhys	n/a	stimuli/VOE/physics/support_exp1/unexp.mp4
256.149	12.25	physics_support_exp_2	n/a	VOESocPhys	n/a	stimuli/VOE/physics/support_exp1/exp.mp4
273.65700000000004	12.25	psychology_efficiency_fam_2	n/a	VOESocPhys	n/a	stimuli/VOE/psychology/efficiency_exp1/fam_flip.mp4
289.16900000000004	12.25	psychology_efficiency_unexp_2	n/a	VOESocPhys	n/a	stimuli/VOE/psychology/efficiency_exp1/unexp_flip.mp4
308.6749999999999	12.25	psychology_efficiency_exp_2	n/a	VOESocPhys	n/a	stimuli/VOE/psychology/efficiency_exp1/exp_flip.mp4
324.19000000000005	12.25	physics_solidity_fam_2	n/a	VOESocPhys	n/a	stimuli/VOE/physics/solidity_exp1/fam_flip.mp4
339.702	12.25	physics_solidity_unexp_2	n/a	VOESocPhys	n/a	stimuli/VOE/physics/solidity_exp1/unexp_flip.mp4
359.213	12.25	physics_solidity_exp_2	n/a	VOESocPhys	n/a	stimuli/VOE/physics/solidity_exp1/exp_flip.mp4
374.7240000000001	12.25	psychology_goals_fam_2	n/a	VOESocPhys	n/a	stimuli/VOE/psychology/goal_exp1/fam_flip.mp4
390.237	12.25	psychology_goals_unexp_2	n/a	VOESocPhys	n/a	stimuli/VOE/psychology/goal_exp1/unexp_flip.mp4
409.74300000000005	12.25	psychology_goals_exp_2	n/a	VOESocPhys	n/a	stimuli/VOE/psychology/goal_exp1/exp_flip.mp4
