onset	duration	trial_type	response_time	trial_type_specific	trial_type_morespecific	experiment_name	participant	correct	time_elapsed	trial_n	correct_answer	subject_correct	event	identical_tests	stim_ID	scenario_string	domain	task	prop_correct	stim_path
0.0020000000000024	10.0	fixation	n/a	fixation	fixation	VOE_Exp2	SAXE_NES2_s012	n/a	46868	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.6875	n/a
10.012999999999998	7.5	physics_fam	n/a	physics_solidity_fam	physics_solidity_sphere_fam	VOE_Exp2	SAXE_NES2_s012	n/a	54379	1.0	n/a	n/a	fam	no	40.0	sphere	physics	solidity	0.6875	stimuli/VOE/physics/solidity_block_barrier/sphere/fam.mp4
17.777	7.5	physics_unexp	n/a	physics_solidity_unexp	physics_solidity_sphere_unexp	VOE_Exp2	SAXE_NES2_s012	n/a	62143	1.0	n/a	n/a	unexp	no	40.0	sphere	physics	solidity	0.6875	stimuli/VOE/physics/solidity_block_barrier/sphere/unexp.mp4
25.54	9.0	fixation	n/a	fixation	fixation	VOE_Exp2	SAXE_NES2_s012	n/a	71406	1.0	n/a	n/a	n/a	n/a	40.0	sphere	n/a	n/a	0.6875	n/a
34.54600000000001	2.0	check	0.7662000000029803	check	check	VOE_Exp2	SAXE_NES2_s012	1.0	73412	1.0	False	True	unexp	no	40.0	sphere	physics	solidity	0.6875	stimuli/VOE/physics/permanence_invisible_discontinuous_two-become-one-occluders/sphere/object.png
36.553	7.5	physics_fam	n/a	physics_solidity_fam	physics_solidity_rectangular_fam	VOE_Exp2	SAXE_NES2_s012	n/a	80919	2.0	n/a	n/a	fam	no	55.0	rectangular	physics	solidity	0.6875	stimuli/VOE/physics/solidity_block_barrier/rectangular/fam.mp4
44.31100000000001	7.5	physics_unexp	n/a	physics_solidity_unexp	physics_solidity_rectangular_unexp	VOE_Exp2	SAXE_NES2_s012	n/a	88677	2.0	n/a	n/a	unexp	no	55.0	rectangular	physics	solidity	0.6875	stimuli/VOE/physics/solidity_block_barrier/rectangular/unexp.mp4
52.07000000000001	10.0	fixation	n/a	fixation	fixation	VOE_Exp2	SAXE_NES2_s012	n/a	98936	2.0	n/a	n/a	n/a	n/a	55.0	rectangular	n/a	n/a	0.6875	n/a
62.077	2.0	check	1.3872000000029805	check	check	VOE_Exp2	SAXE_NES2_s012	1.0	100943	2.0	True	True	unexp	no	55.0	rectangular	physics	solidity	0.6875	stimuli/VOE/physics/solidity_block_barrier/rectangular/barrier.png
64.086	7.5	both_fam	n/a	both_agent-solidity_fam	both_agent-solidity_trial-19_fam	VOE_Exp2	SAXE_NES2_s012	n/a	108452	3.0	n/a	n/a	fam	no	63.0	trial-19	both	agent-solidity	0.6875	stimuli/VOE/physics-psychology/efficiency_2.5_agent-solidity/trial_19/fam.mp4
71.849	7.5	both_unexp	n/a	both_agent-solidity_unexp	both_agent-solidity_trial-19_unexp	VOE_Exp2	SAXE_NES2_s012	n/a	116215	3.0	n/a	n/a	unexp	no	63.0	trial-19	both	agent-solidity	0.6875	stimuli/VOE/physics-psychology/efficiency_2.5_agent-solidity/trial_19/unexp.mp4
79.614	5.0	fixation	n/a	fixation	fixation	VOE_Exp2	SAXE_NES2_s012	n/a	121480	3.0	n/a	n/a	n/a	n/a	63.0	trial-19	n/a	n/a	0.6875	n/a
84.623	2.0	check	1.1748999999910592	check	check	VOE_Exp2	SAXE_NES2_s012	0.0	123489	3.0	False	False	unexp	no	63.0	trial-19	both	infer-constraint	0.6875	stimuli/VOE/physics-psychology/infer_constraint_3.1/trial_34_around/surface.png
