onset	duration	trial_type	response_time	trial_type_specific	trial_type_morespecific	experiment_name	participant	correct	time_elapsed	trial_n	correct_answer	subject_correct	event	identical_tests	stim_ID	scenario_string	domain	task	prop_correct	stim_path
0.0020000000000024	10.0	fixation	n/a	fixation	fixation	VOE_Exp2	SAXE_NES2_s012	n/a	42500	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.6875	n/a
10.015	7.5	both_fam	n/a	both_agent-solidity_fam	both_agent-solidity_trial-11_fam	VOE_Exp2	SAXE_NES2_s012	n/a	50013	1.0	n/a	n/a	fam	no	14.0	trial-11	both	agent-solidity	0.6875	stimuli/VOE/physics-psychology/efficiency_2.5_agent-solidity/trial_11/fam.mp4
17.781000000000006	7.5	both_unexp	n/a	both_agent-solidity_unexp	both_agent-solidity_trial-11_unexp	VOE_Exp2	SAXE_NES2_s012	n/a	57779	1.0	n/a	n/a	unexp	no	14.0	trial-11	both	agent-solidity	0.6875	stimuli/VOE/physics-psychology/efficiency_2.5_agent-solidity/trial_11/unexp.mp4
25.547000000000004	9.0	fixation	n/a	fixation	fixation	VOE_Exp2	SAXE_NES2_s012	n/a	67045	1.0	n/a	n/a	n/a	n/a	14.0	trial-11	n/a	n/a	0.6875	n/a
34.55400000000001	2.0	check	1.251	check	check	VOE_Exp2	SAXE_NES2_s012	1.0	69052	1.0	False	True	unexp	no	14.0	trial-11	both	agent-solidity	0.6875	stimuli/VOE/physics-psychology/efficiency_2.5_agent-solidity/trial_19/agent.png
36.559000000000005	7.5	physics_fam	n/a	physics_solidity_fam	physics_solidity_solidity-exp1_fam	VOE_Exp2	SAXE_NES2_s012	n/a	76557	2.0	n/a	n/a	fam	no	8.0	solidity-exp1	physics	solidity	0.6875	stimuli/VOE/physics/solidity_exp1/fam.mp4
44.326	7.5	physics_unexp	n/a	physics_solidity_unexp	physics_solidity_solidity-exp1_unexp	VOE_Exp2	SAXE_NES2_s012	n/a	84324	2.0	n/a	n/a	unexp	no	8.0	solidity-exp1	physics	solidity	0.6875	stimuli/VOE/physics/solidity_exp1/unexp.mp4
52.083000000000006	8.0	fixation	n/a	fixation	fixation	VOE_Exp2	SAXE_NES2_s012	n/a	92581	2.0	n/a	n/a	n/a	n/a	8.0	solidity-exp1	n/a	n/a	0.6875	n/a
60.088	2.0	check	n/a	check	check	VOE_Exp2	SAXE_NES2_s012	n/a	94586	2.0	False	n/a	unexp	no	8.0	solidity-exp1	physics	solidity	0.6875	stimuli/VOE/physics/solidity_block_barrier/cube/barrier.png
62.098000000000006	7.5	both_fam	n/a	both_infer-constraint_fam	both_infer-constraint_trial-34-around_fam	VOE_Exp2	SAXE_NES2_s012	n/a	102096	3.0	n/a	n/a	fam	no	29.0	trial-34-around	both	infer-constraint	0.6875	stimuli/VOE/physics-psychology/infer_constraint_3.1/trial_34_around/fam.mp4
69.862	7.5	both_unexp	n/a	both_infer-constraint_unexp	both_infer-constraint_trial-34-around_unexp	VOE_Exp2	SAXE_NES2_s012	n/a	109860	3.0	n/a	n/a	unexp	no	29.0	trial-34-around	both	infer-constraint	0.6875	stimuli/VOE/physics-psychology/infer_constraint_3.1/trial_34_around/unexp.mp4
77.625	7.0	fixation	n/a	fixation	fixation	VOE_Exp2	SAXE_NES2_s012	n/a	117123	3.0	n/a	n/a	n/a	n/a	29.0	trial-34-around	n/a	n/a	0.6875	n/a
84.632	2.0	check	1.1418999999910593	check	check	VOE_Exp2	SAXE_NES2_s012	1.0	119130	3.0	True	True	unexp	no	29.0	trial-34-around	both	infer-constraint	0.6875	stimuli/VOE/physics-psychology/infer_constraint_3.1/trial_34_around/surface.png
86.642	7.5	physics_fam	n/a	physics_solidity_fam	physics_solidity_chair_fam	VOE_Exp2	SAXE_NES2_s012	n/a	126640	4.0	n/a	n/a	fam	no	6.0	chair	physics	solidity	0.6875	stimuli/VOE/physics/solidity_long_overturn_fan/chair/fam.mp4
94.407	7.5	physics_unexp	n/a	physics_solidity_unexp	physics_solidity_chair_unexp	VOE_Exp2	SAXE_NES2_s012	n/a	134405	4.0	n/a	n/a	unexp	no	6.0	chair	physics	solidity	0.6875	stimuli/VOE/physics/solidity_long_overturn_fan/chair/unexp.mp4
102.166	7.0	fixation	n/a	fixation	fixation	VOE_Exp2	SAXE_NES2_s012	n/a	141664	4.0	n/a	n/a	n/a	n/a	6.0	chair	n/a	n/a	0.6875	n/a
109.173	2.0	check	1.284300000011921	check	check	VOE_Exp2	SAXE_NES2_s012	1.0	143671	4.0	False	True	unexp	no	6.0	chair	physics	solidity	0.6875	stimuli/VOE/physics/permanence_create_one-becomes-two-fan/cube/object2.png
111.18300000000002	7.5	both_fam	n/a	both_infer-constraint_fam	both_infer-constraint_trial-5-over_fam	VOE_Exp2	SAXE_NES2_s012	n/a	151181	5.0	n/a	n/a	fam	no	28.0	trial-5-over	both	infer-constraint	0.6875	stimuli/VOE/physics-psychology/infer_constraint_3.1/trial_5_over/fam.mp4
118.94500000000002	7.5	both_exp	n/a	both_infer-constraint_exp	both_infer-constraint_trial-5-over_exp	VOE_Exp2	SAXE_NES2_s012	n/a	158943	5.0	n/a	n/a	exp	no	28.0	trial-5-over	both	infer-constraint	0.6875	stimuli/VOE/physics-psychology/infer_constraint_3.1/trial_5_over/exp.mp4
126.704	6.0	fixation	n/a	fixation	fixation	VOE_Exp2	SAXE_NES2_s012	n/a	165202	5.0	n/a	n/a	n/a	n/a	28.0	trial-5-over	n/a	n/a	0.6875	n/a
132.71900000000002	2.0	check	1.122	check	check	VOE_Exp2	SAXE_NES2_s012	0.0	167217	5.0	False	False	exp	no	28.0	trial-5-over	both	infer-constraint	0.6875	stimuli/VOE/physics-psychology/efficiency_2.5_agent-solidity/trial_11/surface.png
134.726	7.5	psychology_fam	n/a	psychology_goal_fam	psychology_goal_goal-exp1_fam	VOE_Exp2	SAXE_NES2_s012	n/a	174724	6.0	n/a	n/a	fam	no	2.0	goal-exp1	psychology	goal	0.6875	stimuli/VOE/psychology/goal_exp1/fam.mp4
142.491	7.5	psychology_exp	n/a	psychology_goal_exp	psychology_goal_goal-exp1_exp	VOE_Exp2	SAXE_NES2_s012	n/a	182489	6.0	n/a	n/a	exp	no	2.0	goal-exp1	psychology	goal	0.6875	stimuli/VOE/psychology/goal_exp1/exp.mp4
150.25400000000002	8.0	fixation	n/a	fixation	fixation	VOE_Exp2	SAXE_NES2_s012	n/a	190752	6.0	n/a	n/a	n/a	n/a	2.0	goal-exp1	n/a	n/a	0.6875	n/a
158.261	2.0	check	0.9027000000029802	check	check	VOE_Exp2	SAXE_NES2_s012	1.0	192759	6.0	True	True	exp	no	2.0	goal-exp1	psychology	goal	0.6875	stimuli/VOE/psychology/goal_exp1/agent.png
160.27	7.5	both_fam	n/a	both_agent-solidity_fam	both_agent-solidity_trial-19_fam	VOE_Exp2	SAXE_NES2_s012	n/a	200268	7.0	n/a	n/a	fam	no	15.0	trial-19	both	agent-solidity	0.6875	stimuli/VOE/physics-psychology/efficiency_2.5_agent-solidity/trial_19/fam.mp4
168.031	7.5	both_exp	n/a	both_agent-solidity_exp	both_agent-solidity_trial-19_exp	VOE_Exp2	SAXE_NES2_s012	n/a	208029	7.0	n/a	n/a	exp	no	15.0	trial-19	both	agent-solidity	0.6875	stimuli/VOE/physics-psychology/efficiency_2.5_agent-solidity/trial_19/exp.mp4
175.79600000000002	6.0	fixation	n/a	fixation	fixation	VOE_Exp2	SAXE_NES2_s012	n/a	214294	7.0	n/a	n/a	n/a	n/a	15.0	trial-19	n/a	n/a	0.6875	n/a
181.805	2.0	check	1.1244000000059604	check	check	VOE_Exp2	SAXE_NES2_s012	1.0	216303	7.0	False	True	exp	no	15.0	trial-19	both	agent-solidity	0.6875	stimuli/VOE/physics-psychology/efficiency_2.5_agent-solidity/trial_11/object.png
183.813	7.5	psychology_fam	n/a	psychology_efficiency_fam	psychology_efficiency_trial-2-barrier_fam	VOE_Exp2	SAXE_NES2_s012	n/a	223811	8.0	n/a	n/a	fam	no	4.0	trial-2-barrier	psychology	efficiency	0.6875	stimuli/VOE/psychology/efficiency_2.1_noobstacleattest/trial_2_barrier/fam.mp4
191.584	7.5	psychology_exp	n/a	psychology_efficiency_exp	psychology_efficiency_trial-2-barrier_exp	VOE_Exp2	SAXE_NES2_s012	n/a	231582	8.0	n/a	n/a	exp	no	4.0	trial-2-barrier	psychology	efficiency	0.6875	stimuli/VOE/psychology/efficiency_2.1_noobstacleattest/trial_2_barrier/exp.mp4
199.345	5.0	fixation	n/a	fixation	fixation	VOE_Exp2	SAXE_NES2_s012	n/a	236843	8.0	n/a	n/a	n/a	n/a	4.0	trial-2-barrier	n/a	n/a	0.6875	n/a
204.354	2.0	check	0.9234000000059605	check	check	VOE_Exp2	SAXE_NES2_s012	1.0	238852	8.0	True	True	exp	no	4.0	trial-2-barrier	psychology	efficiency	0.6875	stimuli/VOE/psychology/efficiency_2.1_noobstacleattest/trial_2_barrier/agent.png
206.363	7.5	psychology_fam	n/a	psychology_efficiency_fam	psychology_efficiency_efficiency-exp1_fam	VOE_Exp2	SAXE_NES2_s012	n/a	246361	9.0	n/a	n/a	fam	no	21.0	efficiency-exp1	psychology	efficiency	0.6875	stimuli/VOE/psychology/efficiency_exp1/fam.mp4
