onset	duration	participant	experiment_name	block_order	video_list	trial_type	prop_correct
0.0	26	SAXE_NES2_s008	DOTSloc_Exp2	2	1	rest	0.5625
26.01	26	SAXE_NES2_s008	DOTSloc_Exp2	2	1	physics	0.5625
52.039	26	SAXE_NES2_s008	DOTSloc_Exp2	2	1	social	0.5625
78.06799999999998	26	SAXE_NES2_s008	DOTSloc_Exp2	2	1	physics	0.5625
104.094	26	SAXE_NES2_s008	DOTSloc_Exp2	2	1	physics	0.5625
130.119	26	SAXE_NES2_s008	DOTSloc_Exp2	2	1	social	0.5625
156.141	26	SAXE_NES2_s008	DOTSloc_Exp2	2	1	social	0.5625
182.164	26	SAXE_NES2_s008	DOTSloc_Exp2	2	1	physics	0.5625
208.19	26	SAXE_NES2_s008	DOTSloc_Exp2	2	1	social	0.5625
234.21	26	SAXE_NES2_s008	DOTSloc_Exp2	2	1	rest	0.5625
260.217	26	SAXE_NES2_s008	DOTSloc_Exp2	2	1	social	0.5625
286.247	26	SAXE_NES2_s008	DOTSloc_Exp2	2	1	physics	0.5625
312.277	26	SAXE_NES2_s008	DOTSloc_Exp2	2	1	social	0.5625
338.298	26	SAXE_NES2_s008	DOTSloc_Exp2	2	1	social	0.5625
364.324	26	SAXE_NES2_s008	DOTSloc_Exp2	2	1	physics	0.5625
390.35	26	SAXE_NES2_s008	DOTSloc_Exp2	2	1	physics	0.5625
416.373	26	SAXE_NES2_s008	DOTSloc_Exp2	2	1	social	0.5625
442.401	26	SAXE_NES2_s008	DOTSloc_Exp2	2	1	physics	0.5625
468.428	26	SAXE_NES2_s008	DOTSloc_Exp2	2	1	rest	0.5625
