onset	duration	trial_type	experiment_name	participant	block_order	event
0.0	10.0	rest	MotionLoc	SAXE_NES2_s008	2	0
10.007	11.8	coherent	MotionLoc	SAXE_NES2_s008	2	1
21.846	11.8	incoherent	MotionLoc	SAXE_NES2_s008	2	2
33.687	11.8	coherent	MotionLoc	SAXE_NES2_s008	2	3
45.516	11.8	incoherent	MotionLoc	SAXE_NES2_s008	2	4
57.363	11.8	coherent	MotionLoc	SAXE_NES2_s008	2	5
69.21	11.8	incoherent	MotionLoc	SAXE_NES2_s008	2	6
81.055	11.8	coherent	MotionLoc	SAXE_NES2_s008	2	7
92.903	11.8	incoherent	MotionLoc	SAXE_NES2_s008	2	8
104.75	11.8	coherent	MotionLoc	SAXE_NES2_s008	2	9
116.59	11.8	incoherent	MotionLoc	SAXE_NES2_s008	2	10
128.44	11.8	coherent	MotionLoc	SAXE_NES2_s008	2	11
140.29	11.8	incoherent	MotionLoc	SAXE_NES2_s008	2	12
152.13	11.8	coherent	MotionLoc	SAXE_NES2_s008	2	13
163.98	11.8	incoherent	MotionLoc	SAXE_NES2_s008	2	14
175.83	11.8	coherent	MotionLoc	SAXE_NES2_s008	2	15
187.67	11.8	incoherent	MotionLoc	SAXE_NES2_s008	2	16
199.52	11.8	coherent	MotionLoc	SAXE_NES2_s008	2	17
211.36	11.8	incoherent	MotionLoc	SAXE_NES2_s008	2	18
223.21	11.8	coherent	MotionLoc	SAXE_NES2_s008	2	19
235.06	11.8	incoherent	MotionLoc	SAXE_NES2_s008	2	20
246.9	11.8	coherent	MotionLoc	SAXE_NES2_s008	2	21
258.75	11.8	incoherent	MotionLoc	SAXE_NES2_s008	2	22
